#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  1 17:42:31 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.369344
1	1	0.404916
2	0	1.424448
3	1	1.460236
4	0	2.486268
5	1	2.522112
6	0	3.541324
7	1	3.577328
8	0	4.603176
9	1	4.639240
10	0	5.658312
11	1	5.694496
12	0	6.720252
13	1	6.756524
14	0	7.775392
15	1	7.811676
16	0	8.837760
17	1	8.873924
18	0	9.892104
19	1	9.928704
20	0	10.954312
21	1	10.990968
22	0	12.009256
23	1	12.046052
24	0	13.071168
25	1	13.108048
26	0	14.125940
27	1	14.162952
28	0	15.187540
29	1	15.224612
30	0	16.242300
31	1	16.279536
32	0	17.304448
33	1	17.341776
34	0	18.359396
35	1	18.396852
36	0	19.421228
37	1	19.458772
38	0	20.475876
39	1	20.513580
40	0	21.537868
41	1	21.575668
42	0	22.592564
43	1	22.630496
44	0	23.654504
45	1	23.692500
46	0	24.709072
47	1	24.747232
48	0	25.771156
49	1	25.809356
50	0	26.825592
51	1	26.863948
52	0	27.887600
53	1	27.926000
54	0	28.942008
55	1	28.980556
56	0	30.004088
57	1	30.042680
58	0	31.058352
59	1	31.097072
60	0	32.120540
61	1	32.159304
62	0	33.174780
63	1	33.213688
64	0	34.236844
65	1	34.275796
66	0	35.291068
67	1	35.330152
68	0	36.353064
69	1	36.392204
70	0	37.407536
71	1	37.446792
72	0	38.469348
73	1	38.508652
74	0	39.523824
75	1	39.563268
76	0	40.585656
77	1	40.625164
78	0	41.640052
79	1	41.679692
80	0	42.702000
81	1	42.741712
82	0	43.756340
83	1	43.796160
84	0	44.818116
85	1	44.857988
86	0	45.872560
87	1	45.912564
88	0	46.934392
89	1	46.974460
90	0	47.988780
91	1	48.028964
92	0	49.050480
93	1	49.090736
94	0	50.104868
95	1	50.145240
96	0	51.166564
97	1	51.207000
98	0	52.220996
99	1	52.261568
100	0	53.282596
101	1	53.323280
102	0	54.336964
103	1	54.377760
104	0	55.398620
105	1	55.439464
106	0	56.453032
107	1	56.494024
108	0	57.514456
109	1	57.555516
110	0	58.568960
111	1	58.610180
112	0	59.630492
113	1	59.671780
114	0	60.684856
115	1	60.726300
116	0	61.746280
117	1	61.787796
118	0	62.800512
119	1	62.842156
120	0	63.861964
121	1	63.903704
122	0	64.916248
123	1	64.958124
124	0	65.977612
125	1	66.019556
