#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  1 16:57:18 2017
#Id	Edge	Time
#[]	[b]	[s]
10	0	5.646500
11	1	5.665056
12	0	6.713652
13	1	6.732248
14	0	7.773172
15	1	7.791824
16	0	8.840304
17	1	8.858988
18	0	9.899740
19	1	9.918492
20	0	10.967092
21	1	10.985900
22	0	12.026260
23	1	12.045124
24	0	13.093612
25	1	13.112504
26	0	14.152820
27	1	14.171780
28	0	15.219992
29	1	15.238996
30	0	16.279136
31	1	16.298192
32	0	17.346152
33	1	17.365256
34	0	18.405200
35	1	18.424364
36	0	19.472248
37	1	19.491464
38	0	20.531100
39	1	20.550372
40	0	21.597832
41	1	21.617140
42	0	22.656724
43	1	22.676096
44	0	23.723520
45	1	23.742936
46	0	24.782432
47	1	24.801912
48	0	25.849136
49	1	25.868664
50	0	26.907816
51	1	26.927400
52	0	27.974568
53	1	27.994200
54	0	29.033192
55	1	29.052888
56	0	30.099948
57	1	30.119692
58	0	31.158556
59	1	31.178360
60	0	32.225300
61	1	32.245148
62	0	33.283792
63	1	33.303692
64	0	34.350564
65	1	34.370504
66	0	35.408984
67	1	35.428980
68	0	36.475648
69	1	36.495688
70	0	37.533940
71	1	37.554032
72	0	38.600696
73	1	38.620832
74	0	39.658872
75	1	39.679072
76	0	40.725576
77	1	40.745816
78	0	41.783680
79	1	41.803984
80	0	42.850124
81	1	42.870472
82	0	43.908328
83	1	43.928744
84	0	44.974668
85	1	44.995136
86	0	46.032796
87	1	46.053324
88	0	47.098872
89	1	47.119448
90	0	48.157032
91	1	48.177668
92	0	49.223284
93	1	49.243964
94	0	50.281272
95	1	50.302024
96	0	51.347540
97	1	51.368336
98	0	52.405400
99	1	52.426260
100	0	53.471732
101	1	53.492636
102	0	54.529444
103	1	54.550404
104	0	55.595712
105	1	55.616716
106	0	56.653412
107	1	56.674484
108	0	57.719644
109	1	57.740764
110	0	58.777244
111	1	58.798424
112	0	59.843392
113	1	59.864612
114	0	60.901004
115	1	60.922288
116	0	61.967180
117	1	61.988520
118	0	63.024592
119	1	63.045996
120	0	64.090864
121	1	64.112312
122	0	65.148084
123	1	65.169596
124	0	66.214340
125	1	66.235892
126	0	67.271488
127	1	67.293104
128	0	68.337784
129	1	68.359444
130	0	69.394848
131	1	69.416564
132	0	70.460948
133	1	70.482724
134	0	71.518128
135	1	71.539960
136	0	72.584240
137	1	72.606104
138	0	73.641376
139	1	73.663324
140	0	74.707452
141	1	74.729444
142	0	75.764544
143	1	75.786600
144	0	76.830636
145	1	76.852732
146	0	77.887516
147	1	77.909672
148	0	78.953616
149	1	78.975824
150	0	80.010544
151	1	80.032812
152	0	81.076692
153	1	81.099016
154	0	82.133432
155	1	82.155816
156	0	83.199560
157	1	83.222000
158	0	84.256160
159	1	84.278664
160	0	85.322272
161	1	85.344820
162	0	86.378888
163	1	86.401492
164	0	87.444964
165	1	87.467620
166	0	88.501512
167	1	88.524228
168	0	89.567676
169	1	89.590456
170	0	90.624048
171	1	90.646880
172	0	91.690224
173	1	91.713108
174	0	92.746424
175	1	92.769380
176	0	93.812564
177	1	93.835560
178	0	94.868652
179	1	94.891724
180	0	95.934788
181	1	95.957912
182	0	96.990996
183	1	97.014188
184	0	98.056984
185	1	98.080220
186	0	99.113100
187	1	99.136408
188	0	100.179136
189	1	100.202488
190	0	101.235104
191	1	101.258532
192	0	102.301228
193	1	102.324716
194	0	103.357200
195	1	103.380744
196	0	104.423188
197	1	104.446780
198	0	105.479200
199	1	105.502860
200	0	106.545000
201	1	106.568704
202	0	107.601256
203	1	107.625044
204	0	108.666808
205	1	108.690648
206	0	109.723008
207	1	109.746908
208	0	110.788664
209	1	110.812616
210	0	111.844696
211	1	111.868720
212	0	112.910336
213	1	112.934408
214	0	113.966412
215	1	113.990556
216	0	115.031872
217	1	115.056064
218	0	116.087692
219	1	116.111948
220	0	117.153268
221	1	117.177576
222	0	118.209280
223	1	118.233668
224	0	119.274696
225	1	119.299128
226	0	120.330676
227	1	120.355176
228	0	121.396132
229	1	121.420680
230	0	122.452040
231	1	122.476664
232	0	123.517420
233	1	123.542096
234	0	124.573228
235	1	124.597972
236	0	125.638660
237	1	125.663460
238	0	126.694400
239	1	126.719276
240	0	127.759804
241	1	127.784724
242	0	128.815420
243	1	128.840416
244	0	129.881008
245	1	129.906072
246	0	130.936276
247	1	130.961412
248	0	132.002012
249	1	132.027200
250	0	133.057180
251	1	133.082448
252	0	134.122992
253	1	134.148300
254	0	135.178088
255	1	135.203472
256	0	136.243816
257	1	136.269248
258	0	137.299008
259	1	137.324524
260	0	138.364632
261	1	138.390180
262	0	139.419784
263	1	139.445408
264	0	140.485472
265	1	140.511152
266	0	141.540556
267	1	141.566316
268	0	142.606172
269	1	142.631980
270	0	143.661232
271	1	143.687108
272	0	144.726764
273	1	144.752708
274	0	145.781928
275	1	145.807944
276	0	146.847360
277	1	146.873424
278	0	147.902448
279	1	147.928592
280	0	148.967960
281	1	148.994160
282	0	150.022956
283	1	150.049240
284	0	151.088464
285	1	151.114792
286	0	152.143180
287	1	152.169588
288	0	153.208740
289	1	153.235188
290	0	154.263544
291	1	154.290080
292	0	155.329080
293	1	155.355668
294	0	156.383784
295	1	156.410444
296	0	157.449292
297	1	157.475996
298	0	158.503980
299	1	158.530768
300	0	159.569524
301	1	159.596372
302	0	160.624044
