#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
0.733178	0.666798
1.161734	0.883990
1.494702	1.034637
1.783230	1.161789
2.042090	1.278172
2.278452	1.389987
2.496164	1.503600
2.697650	1.622455
2.884374	1.750015
3.057924	1.879595
3.219832	2.009976
3.371622	2.138884
3.514634	2.261505
3.650234	2.380283
3.779314	2.493882
3.902786	2.600742
4.021362	2.703794
4.135676	2.797650
4.246388	2.883253
4.353992	2.959523
4.459058	3.025417
4.561990	3.081201
4.663174	3.131259
4.762802	3.176149
4.861048	3.220099
4.957958	3.264264
5.053508	3.310424
5.147692	3.361502
5.240316	3.419904
5.331366	3.481606
5.420750	3.547978
5.508430	3.619597
5.594384	3.689827
5.678726	3.762296
5.761450	3.834484
5.842676	3.903084
5.922492	3.970969
6.000986	4.034614
6.078304	4.095201
6.154528	4.149399
6.229818	4.198531
6.304284	4.240010
6.378074	4.277418
6.451238	4.310401
6.523838	4.344257
6.595874	4.378526
6.667322	4.414705
6.738174	4.453759
6.808330	4.499431
6.877768	4.549604
6.946428	4.601313
7.014278	4.660010
7.081266	4.717389
7.147452	4.778233
7.212796	4.838281
7.277370	4.893294
7.341212	4.949884
7.404356	5.000784
7.466882	5.051117
7.528806	5.095852
7.590222	5.137015
7.651176	5.171686
7.711750	5.203208
7.771972	5.229886
7.831890	5.257016
7.891488	5.285673
7.950758	5.313925
8.009704	5.346482
8.068238	5.384603
8.126366	5.424957
8.184052	5.467062
8.241262	5.516018
8.297952	5.564280
8.354164	5.616004
8.409854	5.667062
8.465074	5.712610
8.519840	5.760374
8.574172	5.804650
8.628108	5.846999
8.681662	5.885778
8.734888	5.920607
8.787810	5.951564
8.840490	5.978975
8.892936	6.000215
8.945192	6.024147
8.997238	6.048270
9.049070	6.072823
9.100696	6.099469
9.152044	6.132809
9.203134	6.166757
9.253928	6.202552
9.304412	6.243973
9.354542	6.286203
9.404352	6.330793
9.453800	6.375761
9.502926	6.415603
9.551738	6.457273
9.600244	6.495188
9.648474	6.535182
9.696420	6.569071
9.744134	6.601371
9.791624	6.629231
9.838932	6.654225
9.886076	6.673449
9.933078	6.694210
9.979934	6.715962
10.026632	6.737278
10.073188	6.760766
10.119538	6.791458
10.165692	6.822134
10.211634	6.854284
10.257344	6.892783
10.302796	6.927437
10.348020	6.967382
10.392982	7.008104
10.437702	7.042351
10.482186	7.082359
10.526432	7.117982
10.570464	7.153966
10.614274	7.187026
10.657900	7.217738
10.701346	7.243700
10.744650	7.268167
10.787820	7.286035
10.830886	7.303991
10.873838	7.324767
10.916666	7.344631
10.959384	7.365640
11.001942	7.394070
11.044352	7.422020
11.086600	7.450535
11.128670	7.485686
11.170538	7.516491
11.212246	7.551905
11.253740	7.589488
11.295046	7.622265
