#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
1.507226	0.225886
2.727402	0.337074
3.562462	0.441603
4.205038	0.559490
4.716634	0.693285
5.134484	0.836415
5.484616	0.980773
5.785860	1.124648
6.051050	1.263155
6.288980	1.392859
6.506332	1.510149
6.707878	1.617044
6.896838	1.715855
7.075862	1.802095
7.246904	1.876608
7.411842	1.938321
7.572102	1.986941
7.729052	2.020707
7.883782	2.042489
8.037046	2.058036
8.189132	2.073139
8.339976	2.090994
8.489354	2.114155
8.636802	2.145310
8.781820	2.185091
8.923962	2.235468
9.062724	2.291762
9.197906	2.355794
9.329482	2.422087
9.457410	2.491034
9.581916	2.557384
9.703314	2.621227
9.821820	2.682188
9.937830	2.737676
10.051582	2.787472
10.163514	2.828887
10.273938	2.863490
10.383238	2.888077
10.491720	2.905116
10.599668	2.916660
10.707166	2.928077
10.814222	2.940080
10.920784	2.955625
11.026652	2.977531
11.131612	3.006136
11.235454	3.044592
11.337922	3.086468
11.438892	3.134821
11.538374	3.183294
11.636276	3.234887
11.732638	3.285497
11.827564	3.335520
11.921076	3.383805
12.013352	3.428264
12.104466	3.468460
12.194630	3.502255
12.283988	3.530990
12.372740	3.551026
12.461036	3.565697
12.549034	3.575680
12.636768	3.585638
12.724242	3.596557
12.811424	3.609864
12.898218	3.628208
12.984508	3.650807
13.070204	3.681784
13.155130	3.715311
13.239218	3.755011
13.322464	3.794561
13.404780	3.838325
13.486170	3.881001
13.566702	3.923362
13.646354	3.964055
13.725256	4.001825
13.803412	4.037622
13.880952	4.067418
13.957954	4.093707
14.034544	4.112140
14.110818	4.126291
14.186890	4.134654
14.262796	4.142614
14.338544	4.151482
14.414118	4.162263
14.489438	4.178317
14.564432	4.197633
14.639034	4.225410
14.713124	4.254018
14.786668	4.287459
14.859676	4.320716
14.932066	4.358239
15.003832	4.396049
15.075006	4.433896
15.145564	4.469982
15.215602	4.503817
15.285106	4.536072
15.354178	4.562157
15.422870	4.585597
15.491276	4.601987
15.559442	4.615509
15.627460	4.623389
15.695350	4.631568
15.763110	4.640325
15.830740	4.650216
15.898188	4.664162
15.965412	4.680282
16.032364	4.705237
16.098946	4.730459
16.165122	4.761576
16.230910	4.791643
16.296240	4.825350
16.361112	4.859235
16.425558	4.892380
16.489550	4.924744
16.553162	4.955193
16.616368	4.984914
16.679248	5.009077
16.741832	5.031540
16.804190	5.046411
16.866368	5.059088
16.928440	5.065124
16.990424	5.071338
17.052324	5.078224
17.114134	5.086940
17.175812	5.099326
17.237320	5.113602
17.298630	5.135839
17.359666	5.157423
17.420404	5.184660
17.480862	5.210457
17.540972	5.241404
17.600732	5.271836
17.660162	5.302445
17.719242	5.331058
17.778032	5.358702
17.836504	5.386080
17.894722	5.408333
17.952706	5.428519
18.010512	5.442626
18.068172	5.454533
18.125748	5.460221
18.183252	5.465731
18.240694	5.471823
18.298072	5.478885
18.355354	5.489224
18.412508	5.501528
18.469514	5.522029
18.526292	5.542683
18.582830	5.568225
18.639146	5.591415
18.695190	5.619218
18.750952	5.646893
18.806458	5.675252
18.861674	5.702034
18.916654	5.728443
18.971368	5.754465
19.025868	5.775836
19.080170	5.795441
19.134328	5.808514
19.188356	5.820567
19.242318	5.825316
19.296218	5.831154
19.350066	5.836571
19.403864	5.843084
19.457578	5.853100
19.511190	5.864463
19.564682	5.883353
19.617992	5.901256
19.671110	5.924850
19.724052	5.946157
19.776764	5.972837
19.829242	5.998382
19.881510	6.025302
19.933536	6.049435
19.985374	6.073997
20.036984	6.098996
20.088416	6.118953
20.139680	6.138321
20.190814	6.151061
20.241838	6.162886
20.292806	6.167483
20.343722	6.172330
20.394594	6.177185
20.445430	6.183264
20.496196	6.192283
20.546880	6.202552
20.597456	6.221961
20.647880	6.238022
20.698138	6.260897
20.748252	6.279669
20.798180	6.304368
20.847906	6.329007
20.897456	6.354354
20.946796	6.377573
20.995976	6.401224
21.044954	6.425313
21.093784	6.444028
21.142466	6.463119
21.191034	6.475641
21.239504	6.487141
21.287926	6.490894
21.336302	6.496800
21.384638	6.501371
21.432942	6.507027
21.481186	6.515394
21.529362	6.524595
21.577456	6.541441
21.625418	6.557827
21.673236	6.578976
21.720926	6.598876
21.768440	6.624199
21.815776	6.648029
21.862970	6.668915
21.910024	6.683671
21.957012	6.692213
22.003948	6.694210
22.050922	6.685378
22.097978	6.668915
22.145192	6.641564
22.192604	6.611652
22.240266	6.572920
22.288198	6.535454
22.336402	6.498413
22.384886	6.461789
22.433628	6.428206
22.482616	6.395230
22.531842	6.370848
22.581252	6.344345
22.630840	6.323402
22.680628	6.299817
22.730562	6.281929
22.780638	6.263643
22.830872	6.246456
22.881236	6.227141
22.931776	6.207454
22.982456	6.188623
23.033322	6.165547
23.084382	6.140481
23.135684	6.108958
23.187248	6.076817
23.239124	6.036881
23.291338	5.997237
23.343892	5.957433
23.396804	5.918154
23.450048	5.882031
23.503606	5.846999
23.557468	5.820135
23.611570	5.792449
23.665896	5.770319
23.720468	5.746255
23.775230	5.726355
23.830178	5.706799
23.885332	5.687376
23.940662	5.666858
23.996214	5.645676
24.051960	5.624248
24.107958	5.598191
24.164220	5.570002
24.220814	5.534871
24.277770	5.497100
24.335162	5.452829
24.393008	5.409078
24.451322	5.365108
24.510114	5.322749
24.569356	5.282829
24.629022	5.245079
24.689102	5.214781
24.749514	5.184660
24.810240	5.159456
24.871298	5.133657
24.932616	5.112271
24.994192	5.090402
25.056046	5.069538
25.118150	5.046411
25.180566	5.022370
25.243268	4.997443
25.306332	4.967730
25.369788	4.934955
25.433722	4.894971
25.498188	4.852330
25.563282	4.802777
25.629044	4.751925
25.695506	4.701575
25.762688	4.651730
25.830550	4.606036
25.899060	4.563217
25.968178	4.528487
26.037804	4.494539
26.107910	4.465788
26.178508	4.436275
26.249522	4.410862
26.320940	4.385739
