#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
1.223820	0.572984
1.726840	0.748683
2.129380	0.837847
2.497464	0.879244
2.852674	0.894511
3.203298	0.899078
3.552202	0.901006
3.898530	0.910300
4.237176	0.939354
4.561606	0.994187
4.865744	1.072458
5.146226	1.171371
5.402460	1.287844
5.636124	1.412472
5.849902	1.537735
6.047110	1.658463
6.230668	1.773989
6.402864	1.882930
6.565884	1.980228
6.721444	2.064935
6.871288	2.134901
7.016826	2.188043
7.159492	2.221494
7.300450	2.239292
7.440612	2.245823
7.580512	2.246337
7.720384	2.245438
7.860250	2.246241
7.999862	2.252296
8.138778	2.267479
8.276454	2.294875
8.412144	2.332704
8.545216	2.385851
8.675234	2.447715
8.801806	2.516939
8.924886	2.588912
9.044612	2.661825
9.161120	2.733056
9.274786	2.798647
9.385904	2.858384
9.494946	2.907590
9.602322	2.947140
9.708514	2.973416
9.813926	2.989260
9.918940	2.996102
10.023748	2.999248
10.128440	3.001770
10.233032	3.005331
10.337376	3.014386
10.441262	3.030787
10.544420	3.059119
10.646476	3.095104
10.747186	3.141404
10.846412	3.192027
10.943968	3.248467
11.039824	3.306244
11.134038	3.364814
11.226606	3.423035
11.317710	3.477059
11.407428	3.527184
11.496026	3.567964
11.583698	3.601009
11.670714	3.622936
11.757294	3.636018
11.843664	3.640569
11.929938	3.642426
12.016162	3.644032
12.102330	3.647586
12.188354	3.654970
12.274118	3.668199
12.359486	3.691822
12.444236	3.719974
12.528240	3.757077
12.611420	3.797680
12.693622	3.845090
12.774800	3.894182
12.854978	3.944346
12.934126	3.993685
13.012370	4.039491
13.089736	4.082429
13.166382	4.117637
13.242424	4.147208
13.318018	4.167121
13.393306	4.179873
13.468444	4.184438
13.543512	4.185776
13.618550	4.187227
13.693562	4.188790
13.768500	4.194383
13.843280	4.205050
13.917808	4.225751
13.991920	4.250220
14.065524	4.283367
14.138588	4.317984
14.210992	4.359085
14.282706	4.401223
14.353742	4.445440
14.424060	4.488887
14.493742	4.530838
14.562780	4.570121
14.631306	4.601718
14.699388	4.628293
14.767158	4.646089
14.834696	4.657938
14.902130	4.661808
14.969498	4.664577
15.036836	4.665963
15.104156	4.667626
15.171416	4.672625
15.238564	4.681817
15.305544	4.699887
15.372222	4.720934
15.438544	4.750057
15.504478	4.781142
15.569926	4.817950
15.634864	4.856831
15.699292	4.896803
15.763186	4.935886
15.826612	4.972920
15.889554	5.009236
15.952098	5.038964
16.014300	5.063818
16.076248	5.081181
16.138012	5.092878
16.199690	5.096017
16.261330	5.097836
16.322950	5.098167
16.384570	5.098829
16.446146	5.103634
16.507636	5.111938
16.568994	5.129131
16.630122	5.147958
16.690972	5.174583
16.751538	5.201829
16.811732	5.234941
16.871534	5.270068
16.930950	5.306924
16.989936	5.343390
17.048556	5.377966
17.106784	5.411687
17.164704	5.438857
17.222346	5.462499
17.279788	5.478121
17.337082	5.489416
17.394296	5.494024
17.451472	5.495754
17.508628	5.496908
17.565776	5.497677
17.622898	5.501143
17.679958	5.507701
17.736918	5.523582
17.793700	5.540923
17.850254	5.565463
17.906584	5.591415
17.962610	5.621833
18.018322	5.654822
18.073722	5.688612
18.128776	5.721974
18.183538	5.754465
18.237974	5.786688
18.292158	5.812167
18.346100	5.835704
18.399880	5.850919
18.453524	5.861618
18.507118	5.865120
18.560678	5.865558
18.614234	5.865996
18.667784	5.867310
18.721310	5.870600
18.774782	5.876969
18.828174	5.892180
18.881416	5.907692
18.934478	5.930219
18.987366	5.952692
19.040006	5.981935
19.092382	6.012157
19.144504	6.044779
19.196334	6.076346
19.247916	6.106583
19.299230	6.137362
19.350324	6.161919
19.401220	6.184238
19.451972	6.198147
19.502610	6.210154
19.553200	6.212364
