#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
0.028280	10.804019
0.057372	10.794367
0.086490	10.783992
0.115632	10.772898
0.144802	10.770682
0.173980	10.762565
0.203166	10.761090
0.232378	10.752987
0.261592	10.752987
0.290804	10.752987
0.320024	10.753723
0.349232	10.754459
0.378446	10.754459
0.407648	10.759616
0.436844	10.762565
0.466034	10.763302
0.495226	10.761090
0.524418	10.761827
0.553632	10.750043
0.582866	10.740488
0.612128	10.731682
0.641418	10.719964
0.670738	10.710462
0.700078	10.700247
0.729452	10.696604
0.758828	10.689325
0.788212	10.687870
0.817628	10.679151
0.847042	10.679877
0.876454	10.679877
0.905874	10.680603
0.935284	10.679877
0.964702	10.680603
0.994102	10.687143
1.023500	10.688598
1.052886	10.691508
1.082278	10.688598
1.111672	10.686416
1.141086	10.676973
1.170526	10.666099
1.199990	10.657415
1.229484	10.645858
1.259008	10.636487
1.288554	10.625694
1.318130	10.622820
1.347710	10.616358
1.377300	10.614206
1.406918	10.605606
1.436538	10.604890
1.466156	10.605606
1.495782	10.607755
1.525392	10.606322
1.555016	10.607755
1.584618	10.613489
1.614220	10.614923
1.643812	10.617076
1.673410	10.614206
1.703004	10.614206
1.732624	10.603458
1.762264	10.592733
1.791936	10.582742
1.821638	10.572058
1.851368	10.562105
1.881124	10.550046
1.910910	10.548629
1.940702	10.540135
1.970502	10.539428
2.000330	10.531655
2.030158	10.530949
2.059986	10.530949
2.089822	10.531655
2.119646	10.531655
2.149478	10.533067
2.179292	10.538721
2.209104	10.539428
2.238906	10.542965
2.268712	10.538721
2.298522	10.538721
2.328352	10.527420
2.358206	10.518256
2.388088	10.507702
2.418002	10.496467
2.447946	10.488057
2.477910	10.476166
2.507908	10.474070
2.537912	10.466393
2.567924	10.463605
2.597966	10.457335
2.628004	10.457335
2.658046	10.455943
2.688090	10.459424
2.718122	10.458728
2.748164	10.459424
2.778186	10.464999
2.808208	10.466393
2.838220	10.468486
2.868236	10.466393
2.898254	10.464302
2.928292	10.455247
2.958356	10.444125
2.988452	10.433026
3.018580	10.421950
3.048734	10.414349
3.078916	10.400558
3.109130	10.399181
3.139346	10.393676
3.169572	10.389552
3.199826	10.383371
3.230080	10.383371
3.260332	10.383371
3.290592	10.384057
3.320840	10.384057
3.351096	10.385430
3.381334	10.390926
3.411570	10.391614
3.441796	10.395052
3.472026	10.390926
3.502262	10.389552
3.532518	10.379940
3.562800	10.368977
3.593110	10.358720
3.623456	10.348484
3.653828	10.338267
3.684226	10.327392
3.714658	10.324677
3.745094	10.317217
3.775540	10.315862
3.806012	10.308415
3.836488	10.307063
3.866960	10.309092
3.897438	10.310445
3.927904	10.309092
3.958380	10.311122
3.988834	10.316540
4.019288	10.317217
4.049734	10.320607
4.080182	10.316540
4.110634	10.315185
4.141112	10.304358
4.171614	10.294228
4.202146	10.283446
4.232714	10.272014
4.263310	10.263289
4.293934	10.251901
4.324586	10.249226
4.355248	10.242543
4.385914	10.240539
4.416614	10.233201
4.447310	10.232534
4.478008	10.233201
4.508712	10.233868
4.539402	10.235201
4.570098	10.236535
4.600778	10.241207
4.631454	10.241875
4.662124	10.244547
4.692798	10.240539
4.723478	10.239872
4.754178	10.228536
4.784906	10.219220
4.815662	10.207930
4.846458	10.196666
4.877280	10.188068
4.908130	10.175528
4.939014	10.172892
4.969902	10.166967
5.000802	10.164335
5.031726	10.157762
5.062652	10.157762
5.093576	10.157762
5.124504	10.160390
5.155422	10.159076
5.186348	10.159733
5.217256	10.166309
5.248158	10.166967
5.279056	10.169599
5.309956	10.165651
5.340862	10.163677
5.371792	10.153166
5.402752	10.142022
5.433740	10.131555
5.464768	10.120458
5.495822	10.111989
5.526904	10.099636
5.558018	10.098337
5.589140	10.089256
5.620272	10.089256
5.651430	10.081486
5.682588	10.081486
5.713748	10.081486
5.744910	10.083427
5.776062	10.082780
5.807220	10.084722
5.838364	10.089256
5.869500	10.089904
5.900632	10.093146
5.931768	10.089256
5.962906	10.087960
5.994068	10.076959
6.025262	10.066626
6.056484	10.055027
6.087748	10.044097
6.119040	10.034473
6.150362	10.022947
6.181714	10.021029
6.213074	10.013363
6.244444	10.011449
6.275844	10.005072
6.307240	10.005072
6.338636	10.004435
6.370038	10.007622
6.401428	10.006347
6.432824	10.007622
6.464204	10.014002
6.495576	10.014002
6.526946	10.016556
6.558320	10.012087
6.589698	10.010811
6.621102	9.999340
6.652542	9.987260
6.684002	9.979012
6.715510	9.966982
6.747044	9.957504
6.778606	9.945526
6.810204	9.943637
6.841810	9.935461
6.873424	9.934204
6.905066	9.928553
6.936706	9.927298
6.968348	9.927925
6.999992	9.930436
7.031624	9.930436
7.063262	9.931064
7.094884	9.936089
7.126502	9.937346
7.158114	9.939233
7.189730	9.935461
7.221352	9.933576
7.253000	9.922281
7.284680	9.911638
7.316392	9.899769
7.348144	9.889796
7.379926	9.879222
7.411738	9.868671
7.443582	9.866191
7.475434	9.859379
7.507292	9.857523
7.539184	9.850723
7.571070	9.851341
7.602958	9.850723
7.634852	9.852577
7.666730	9.853195
7.698618	9.854431
7.730486	9.858761
7.762350	9.860617
7.794208	9.863094
7.826072	9.857523
7.857942	9.856286
7.889838	9.845167
7.921766	9.834072
7.953728	9.823617
7.985730	9.811345
8.017762	9.802161
8.049828	9.790553
8.081924	9.788723
8.114028	9.781408
8.146142	9.780190
8.178282	9.773496
8.210426	9.772888
8.242564	9.774104
8.274708	9.775929
8.306840	9.775321
8.338980	9.776538
8.371102	9.782017
8.403218	9.782626
8.435328	9.785064
8.467446	9.780190
8.499570	9.777755
8.531722	9.767419
8.563906	9.755287
8.596124	9.744394
8.628386	9.733525
8.660676	9.723885
8.692998	9.712461
8.725354	9.710060
8.757718	9.702862
8.790090	9.702263
8.822492	9.695077
8.854892	9.695077
8.887290	9.695675
8.919694	9.697471
8.952084	9.698070
8.984482	9.698668
9.016860	9.704061
9.049236	9.704061
9.081606	9.707059
9.113980	9.702263
9.146362	9.700465
9.178772	9.689694
9.211212	9.677754
9.243690	9.667034
9.276212	9.654556
9.308764	9.645664
9.341350	9.634423
9.373968	9.631469
9.406596	9.624388
9.439232	9.623798
9.471894	9.618494
9.504556	9.617317
9.537216	9.617317
9.569884	9.619673
9.602536	9.619673
9.635196	9.620262
9.667840	9.626157
9.700474	9.627337
9.733106	9.628517
9.765744	9.624388
9.798390	9.621440
9.831066	9.609668
9.863776	9.598511
9.896522	9.588550
9.929308	9.576275
9.962128	9.567525
9.994980	9.555885
10.027864	9.553560
10.060760	9.546592
10.093662	9.545432
10.126594	9.539056
10.159524	9.539635
10.192452	9.539056
10.225386	9.542533
10.258302	9.541953
10.291230	9.542533
10.324138	9.548914
10.357040	9.548333
10.389938	9.550656
10.422844	9.546592
10.455754	9.543113
10.488700	9.532110
10.521678	9.519978
10.554694	9.509604
10.587752	9.497529
10.620846	9.487777
10.653974	9.476329
10.687134	9.474614
10.720304	9.466620
10.753484	9.466050
10.786694	9.459209
10.819900	9.460349
10.853102	9.460349
10.886314	9.462058
10.919508	9.463199
10.952710	9.463199
10.985894	9.469474
11.019070	9.469474
11.052246	9.471187
11.085424	9.467191
11.118614	9.463199
11.151836	9.452948
11.185090	9.440449
11.218386	9.429681
11.251724	9.418373
11.285096	9.408219
11.318502	9.397525
11.351944	9.394715
11.385394	9.387977
11.418852	9.386855
11.452340	9.380129
11.485828	9.381249
11.519310	9.381809
11.552800	9.382930
11.586272	9.384612
11.619754	9.384612
11.653216	9.389661
11.686674	9.390783
11.720126	9.392468
11.753586	9.387416
11.787056	9.384612
11.820558	9.372852
11.854096	9.360564
11.887676	9.349978
11.921300	9.337750
11.954960	9.327769
11.988656	9.316704
12.022384	9.315047
12.056122	9.307871
12.089868	9.306217
12.123646	9.300707
12.157422	9.300707
12.191192	9.301808
12.224968	9.303461
12.258730	9.304012
12.292498	9.305114
12.326246	9.310630
12.359990	9.310630
12.393730	9.312286
12.427478	9.307320
12.461238	9.303461
12.495030	9.293003
12.528856	9.280924
12.562728	9.268875
12.596644	9.256859
12.630598	9.248139
12.664584	9.236175
12.698608	9.234546
12.732638	9.227494
12.766680	9.225868
12.800752	9.219912
12.834822	9.220453
12.868886	9.221535
12.902958	9.223160
12.937014	9.223701
12.971074	9.224785
13.005118	9.230205
13.039154	9.230748
13.073186	9.232375
13.107226	9.227494
13.141278	9.223160
13.175366	9.212341
13.209490	9.200470
13.243654	9.189168
13.277866	9.177356
13.312114	9.167715
13.346398	9.156493
13.380718	9.154892
13.415046	9.146895
13.449386	9.146895
13.483752	9.139976
13.518122	9.140508
13.552482	9.142104
13.586852	9.142636
13.621204	9.144765
13.655560	9.145830
13.689898	9.150092
13.724232	9.150625
13.758562	9.152758
13.792900	9.147428
13.827250	9.143168
13.861636	9.132006
13.896060	9.119811
13.930528	9.108706
13.965042	9.096047
13.999600	9.086050
14.034188	9.076075
14.068816	9.072406
14.103454	9.065599
14.138102	9.065076
14.172778	9.058802
14.207456	9.059325
14.242124	9.060893
14.276800	9.062984
14.311456	9.062984
14.346124	9.063507
14.380770	9.069787
14.415410	9.069787
14.450048	9.070834
14.484694	9.065076
14.519356	9.062461
14.554052	9.048887
14.588790	9.038474
14.623568	9.026528
14.658398	9.014096
14.693266	9.005311
14.728170	8.992937
14.763114	8.991393
14.798064	8.984707
14.833026	8.983166
14.868018	8.977518
14.903008	8.978031
14.937994	8.978544
14.972984	8.981625
15.007954	8.981625
15.042936	8.983679
15.077892	8.987792
15.112846	8.988306
15.147798	8.989335
15.182758	8.984707
15.217732	8.980598
15.252744	8.967780
15.287796	8.956531
15.322894	8.944291
15.358044	8.932592
15.393232	8.922444
15.428458	8.911308
15.463724	8.908781
15.498998	8.902722
15.534280	8.901209
15.569596	8.895160
15.604908	8.896672
15.640214	8.897175
15.675524	8.900200
15.710816	8.899696
15.746118	8.901209
15.781398	8.906256
15.816674	8.906761
15.851944	8.907266
15.887230	8.901713
15.922526	8.898688
15.957862	8.885600
15.993240	8.874054
16.028664	8.862039
16.064140	8.849557
16.099660	8.839597
16.135214	8.828666
16.170812	8.826186
16.206416	8.819248
16.242032	8.818753
16.277678	8.812322
16.313324	8.812816
16.348962	8.814794
16.384606	8.816278
16.420232	8.816773
16.455868	8.818258
16.491478	8.822716
16.527088	8.823707
16.562690	8.824203
16.598308	8.818753
16.633940	8.814300
16.669612	8.801952
16.705326	8.790131
16.741090	8.777850
16.776906	8.765605
16.812764	8.756320
16.848662	8.744621
16.884596	8.742674
16.920544	8.734896
16.956502	8.735382
16.992488	8.729071
17.028472	8.730526
17.064450	8.731012
17.100432	8.733925
17.136394	8.734410
17.172364	8.735867
17.208312	8.740729
17.244258	8.740242
17.280200	8.741215
17.316154	8.735867
17.352126	8.731012
17.388138	8.718896
17.424194	8.707297
17.460296	8.694765
17.496458	8.681790
17.532662	8.672683
17.568902	8.661206
17.605186	8.659296
17.641480	8.651665
17.677784	8.651665
17.714118	8.645475
17.750450	8.646903
17.786776	8.647379
17.823104	8.650712
17.859414	8.650712
17.895732	8.652142
17.932028	8.656910
17.968320	8.657387
18.004606	8.657864
18.040910	8.652142
18.077228	8.646903
18.113594	8.634544
18.150000	8.622222
18.186462	8.609934
18.222976	8.597681
18.259538	8.587341
18.296138	8.576557
18.332782	8.573748
18.369434	8.567201
18.406098	8.566267
18.442794	8.561131
18.479482	8.562531
18.516166	8.563465
18.552852	8.565800
18.589520	8.566734
18.626196	8.567668
18.662848	8.572812
18.699496	8.572812
18.736144	8.572812
18.772804	8.567668
18.809482	8.562531
18.846204	8.549947
18.882974	8.537865
18.919794	8.525353
18.956674	8.512417
18.993598	8.503201
19.030564	8.491709
19.067572	8.488956
19.104592	8.482538
19.141622	8.481622
19.178680	8.477044
19.215738	8.477502
19.252784	8.479332
19.289838	8.481164
19.326872	8.482080
19.363910	8.483912
19.400926	8.488497
19.437940	8.488038
19.474950	8.488497
19.511978	8.482996
19.549020	8.478417
19.586108	8.465167
19.623248	8.452412
19.660442	8.439697
19.697694	8.427471
19.734994	8.417085
19.772336	8.405824
19.809722	8.403575
19.847118	8.397286
19.884524	8.396388
19.921960	8.391454
19.959394	8.391903
19.996820	8.393248
20.034252	8.396388
20.071658	8.396837
20.109076	8.398184
20.146468	8.402676
20.183860	8.402676
20.221248	8.403126
20.258650	8.397286
20.296074	8.391454
20.333546	8.378921
20.371068	8.365980
20.408646	8.353522
20.446282	8.341102
20.483970	8.330927
20.521698	8.319896
20.559470	8.317253
20.597256	8.310212
20.635050	8.310212
20.672878	8.304940
20.710698	8.306697
20.748510	8.307575
20.786326	8.310652
20.824120	8.310652
20.861924	8.312851
20.899702	8.316812
20.937478	8.316812
20.975252	8.317253
21.013044	8.311092
21.050852	8.305818
21.088712	8.293539
21.126622	8.279551
21.164592	8.267349
21.202624	8.254316
21.240706	8.243919
21.278834	8.232685
21.317006	8.230097
21.355188	8.224495
21.393382	8.223203
21.431608	8.218041
21.469826	8.220191
21.508038	8.220621
21.546252	8.224065
21.584446	8.224495
21.622644	8.226218
21.660820	8.230097
21.698994	8.230960
21.737164	8.230528
21.775354	8.223634
21.813566	8.218471
21.851828	8.206020
21.890142	8.192325
21.928516	8.179953
21.966954	8.167618
22.005442	8.157015
22.043976	8.145172
22.082560	8.142638
22.121152	8.137155
22.159752	8.136733
22.198382	8.132099
22.237010	8.133363
22.275624	8.135048
22.314246	8.136733
22.352846	8.137998
22.391450	8.140528
