#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
0.051476	6.114665
0.102894	6.104210
0.154404	6.095446
0.205966	6.087650
0.257610	6.080345
0.309300	6.073762
0.361046	6.067428
0.412850	6.064851
0.464666	6.058301
0.516538	6.054565
0.568466	6.047339
0.620424	6.044081
0.672420	6.039434
0.724460	6.035257
0.776530	6.030623
0.828636	6.027383
0.880778	6.024147
0.932954	6.017916
0.985190	6.011467
1.037484	6.003426
1.089858	5.994491
1.142304	5.983986
1.194850	5.975336
1.247450	5.967391
1.300136	5.960145
1.352870	5.953369
1.405662	5.946832
1.458520	5.943682
1.511398	5.936718
1.564328	5.933131
1.617324	5.925074
1.670348	5.923063
1.723412	5.917708
1.776518	5.914365
1.829652	5.909915
1.882826	5.906137
1.936040	5.902587
1.989296	5.895276
2.042616	5.889308
2.095996	5.881150
2.149456	5.872794
2.202992	5.862493
2.256630	5.852881
2.310332	5.845259
2.364120	5.837439
2.417960	5.831154
2.471862	5.824236
2.525832	5.821645
2.579816	5.814749
2.633860	5.810662
2.687978	5.802291
2.742130	5.798650
2.796330	5.793517
2.850578	5.789887
2.904854	5.785622
2.959168	5.782001
3.013522	5.779023
3.067918	5.771804
3.122378	5.766295
3.176902	5.757207
3.231514	5.748779
3.286204	5.738488
3.341002	5.729279
3.395862	5.721557
3.450814	5.714064
3.505822	5.706799
3.560900	5.700172
3.616048	5.696244
3.671224	5.688818
3.726464	5.684906
3.781774	5.677509
3.837116	5.674227
3.892504	5.669517
3.947940	5.665427
4.003410	5.660731
4.058926	5.657062
4.114484	5.653397
4.170084	5.646690
4.225750	5.641418
4.281480	5.632921
4.337298	5.624450
4.393202	5.613796
4.449220	5.604183
4.505306	5.596196
4.561492	5.588034
4.617740	5.581283
4.674060	5.573955
4.730454	5.570595
4.786876	5.563098
4.843370	5.558570
4.899942	5.550125
4.956560	5.546010
5.013230	5.540923
5.069956	5.536041
5.126728	5.530973
5.183548	5.526497
5.240424	5.521835
5.297362	5.513501
5.354382	5.506350
5.411490	5.495946
5.468704	5.486731
5.526012	5.475447
5.583450	5.465540
5.640962	5.456996
5.698586	5.448667
5.756274	5.441306
5.814044	5.433965
5.871896	5.429833
5.929784	5.422148
5.987746	5.417473
6.045790	5.409637
6.103874	5.405914
6.162014	5.401081
6.220210	5.396257
6.278450	5.391441
6.336742	5.387003
6.395084	5.383680
6.453470	5.377414
6.511928	5.371529
6.570462	5.362727
6.629094	5.354683
6.687818	5.343572
6.746670	5.334136
6.805602	5.325275
6.864650	5.317343
6.923762	5.310332
6.982960	5.302803
7.042244	5.298510
7.101568	5.290658
7.160974	5.285851
7.220470	5.276618
7.280024	5.272544
7.339632	5.267593
7.399302	5.263181
7.459012	5.258952
7.518770	5.254905
7.578578	5.251919
7.638436	5.244904
7.698372	5.238782
7.758390	5.230234
7.818506	5.221889
7.878724	5.211321
7.939072	5.201829
7.999506	5.193058
8.060060	5.184317
8.120692	5.177141
8.181418	5.168793
8.242238	5.164885
8.303102	5.156915
8.364036	5.153024
8.425070	5.144249
8.486162	5.139031
8.547322	5.133825
8.608554	5.128461
8.669832	5.123944
8.731168	5.119769
8.792558	5.116100
8.854002	5.109943
8.915520	5.103965
8.977126	5.095191
9.038844	5.086446
9.100668	5.075107
9.162640	5.064961
9.224706	5.056645
9.286894	5.048033
9.349168	5.040581
9.411538	5.032507
9.474012	5.027674
9.536538	5.019160
9.599164	5.013393
9.661896	5.004289
9.724690	5.000147
9.787554	4.994742
9.850482	4.990457
9.913460	4.985705
9.976496	4.981436
10.039596	4.977332
10.102754	4.970717
10.165996	4.965061
10.229324	4.956601
10.292764	4.948481
10.356314	4.937282
10.420018	4.927525
10.483822	4.918114
10.547768	4.909045
10.611806	4.901234
10.675954	4.892684
10.740214	4.887965
10.804524	4.880220
10.868930	4.874616
10.933454	4.865557
10.998048	4.860288
11.062724	4.853830
11.127490	4.848586
