#Creator: pendulumdriveEventBuffer
#Creation time: Fri Apr  7 15:31:08 2017
#Time	Pos
#[s]	[au]
0.050	428
0.100	464
0.150	503
0.200	542
0.251	578
0.302	610
0.352	636
0.402	655
0.452	666
0.503	664
0.553	653
0.603	633
0.653	609
0.703	576
0.753	540
0.804	501
0.854	463
0.904	424
0.954	390
1.004	361
1.055	339
1.105	326
1.155	323
1.206	329
1.256	341
1.306	364
1.357	398
1.407	439
1.457	474
1.507	512
1.557	551
1.607	586
1.658	616
1.708	640
1.758	655
1.808	663
1.858	661
1.909	654
1.959	636
2.009	608
2.059	574
2.110	537
2.160	499
2.211	459
2.261	421
2.311	389
2.361	363
2.411	344
2.461	332
2.512	329
2.562	334
2.612	347
2.662	371
2.712	400
2.763	435
2.813	472
2.863	512
2.913	549
2.963	583
3.014	611
3.065	632
3.115	646
3.165	653
3.215	653
3.265	643
3.315	623
3.366	597
3.416	567
3.466	534
3.516	498
3.566	463
3.617	430
3.667	399
3.717	375
3.767	357
3.817	347
3.867	343
3.919	350
3.969	366
4.019	388
4.069	417
4.119	447
4.170	482
4.220	514
4.270	545
4.320	574
4.370	598
4.420	616
4.471	627
4.521	633
4.571	631
4.621	621
4.671	602
4.721	578
4.772	550
4.823	519
4.873	488
4.923	460
4.973	430
5.024	406
5.074	389
5.124	377
5.174	371
5.224	370
5.274	377
5.325	392
5.375	414
5.425	440
5.475	469
5.525	499
5.575	528
5.626	555
5.676	578
5.727	595
5.777	606
5.827	611
5.878	611
5.928	607
5.978	595
6.028	577
6.078	554
6.128	527
6.179	499
6.229	472
6.279	446
6.329	422
6.379	403
6.429	391
6.480	385
6.530	384
6.580	389
6.631	400
6.681	416
6.732	438
6.782	462
6.832	488
6.882	515
6.932	540
6.982	563
7.033	582
7.083	596
7.133	602
7.183	604
7.233	601
7.283	591
7.334	576
7.384	556
7.434	534
7.484	509
7.535	484
7.586	460
7.636	437
7.686	417
7.736	402
7.786	393
7.836	389
7.887	391
7.937	399
7.987	413
8.037	433
8.087	455
8.138	479
8.188	504
8.238	529
8.288	550
8.338	568
8.388	583
8.440	593
8.490	598
8.540	598
8.590	592
8.640	581
8.690	563
8.741	543
8.791	519
8.841	495
8.891	471
8.941	449
8.992	430
9.042	414
9.092	402
9.142	397
9.192	396
9.242	400
9.293	410
9.344	425
9.394	444
9.444	467
9.494	490
9.544	514
9.595	538
9.645	557
9.695	574
9.745	585
9.795	592
9.846	594
9.896	592
9.946	584
9.996	570
10.046	552
10.096	531
10.147	509
10.197	486
10.248	463
10.298	441
10.348	424
10.399	410
10.449	401
10.499	398
10.549	399
10.599	406
10.649	418
10.700	435
10.750	454
10.800	476
10.850	499
10.900	522
10.950	543
11.001	561
11.051	576
11.101	585
11.152	592
11.202	592
11.253	587
11.303	577
11.353	562
11.403	544
11.453	524
11.503	501
11.554	480
11.604	458
11.654	439
11.704	423
11.754	411
11.804	403
11.855	401
11.905	404
11.955	413
12.005	427
12.056	444
12.107	463
12.157	484
12.207	506
12.257	526
12.307	545
12.357	561
12.408	573
12.458	582
12.508	586
12.558	585
12.608	578
12.658	568
12.709	552
12.759	534
12.809	514
12.859	494
12.909	473
12.961	454
13.011	437
13.061	424
13.111	414
13.161	409
13.211	409
13.262	414
13.312	424
13.362	437
13.412	454
13.462	473
13.512	494
13.563	514
13.613	533
13.663	550
13.713	563
13.763	573
13.814	579
13.865	579
13.915	576
13.965	568
14.015	556
14.065	541
14.116	523
14.166	504
14.216	484
14.266	465
14.316	448
14.367	434
14.417	422
14.467	416
14.517	414
14.567	416
14.617	424
14.668	435
14.719	449
14.769	466
14.819	484
14.869	504
14.919	522
14.970	540
15.020	554
15.070	565
15.120	572
15.170	577
15.221	575
15.271	570
15.321	560
15.371	546
15.421	530
15.471	512
15.522	494
15.572	475
15.623	458
15.673	443
15.723	431
15.773	422
15.824	417
15.874	417
15.924	422
15.974	431
16.024	443
16.075	459
16.125	476
16.175	494
16.225	512
16.275	530
16.325	544
16.376	557
16.426	566
16.476	572
16.527	574
16.577	570
16.627	563
16.678	553
16.728	537
16.778	521
16.828	503
16.878	485
16.929	467
16.979	452
17.029	439
17.079	428
17.129	422
17.179	420
17.230	422
17.280	429
17.330	438
17.380	452
17.431	467
17.482	485
17.532	502
17.582	520
17.632	536
17.682	550
17.732	561
17.783	568
17.833	572
17.883	571
17.933	566
17.983	557
18.033	545
18.084	530
18.134	514
18.184	496
18.234	478
18.284	462
18.336	447
18.386	435
18.436	426
18.486	422
18.536	422
18.586	426
18.637	434
18.687	445
18.737	459
18.787	476
18.837	492
18.887	510
18.938	526
18.988	541
19.038	553
19.088	562
19.138	568
19.189	570
19.240	567
19.290	561
19.340	551
19.390	538
19.440	522
19.491	507
19.541	489
19.591	473
19.641	458
19.691	445
19.741	434
19.792	427
19.842	424
19.892	425
19.942	431
19.992	440
20.043	452
20.093	466
20.144	482
20.194	500
20.244	516
20.294	531
20.345	544
20.395	555
20.445	562
20.495	566
20.545	566
20.595	562
20.646	555
20.696	544
20.746	531
20.796	515
20.846	499
20.897	483
20.947	467
20.997	454
21.048	442
21.098	433
21.148	428
21.199	428
21.249	431
21.299	437
21.349	447
21.399	460
21.450	474
21.500	490
21.550	506
21.600	521
21.650	535
21.700	547
21.751	556
21.801	562
21.851	564
21.901	562
21.952	557
22.002	548
22.053	537
22.103	522
22.153	508
22.203	492
22.253	477
22.304	462
22.354	450
22.404	440
22.454	433
22.504	430
22.554	431
22.605	436
22.655	444
22.705	455
22.755	468
