#Creator: pendulumdriveEventBuffer
#Creation time: Fri Apr  7 15:31:08 2017
#Time	Pos
#[s]	[au]
0.050	346
0.100	346
0.150	345
0.200	345
0.251	343
0.301	343
0.351	346
0.401	356
0.451	373
0.501	398
0.552	432
0.602	467
0.652	501
0.702	536
0.752	569
0.802	599
0.854	622
0.904	639
0.954	647
1.004	645
1.054	636
1.105	622
1.155	600
1.205	571
1.255	537
1.305	503
1.355	468
1.406	434
1.456	403
1.506	377
1.556	357
1.606	346
1.656	343
1.707	347
1.758	358
1.808	378
1.858	407
1.908	441
1.959	474
2.009	508
2.059	543
2.109	574
2.159	601
2.209	622
2.260	637
2.310	643
2.360	643
2.410	636
2.460	620
2.510	597
2.561	567
2.611	534
2.662	499
2.712	465
2.762	432
2.813	404
2.863	380
2.913	364
2.963	353
3.013	350
3.063	354
3.114	367
3.164	386
3.214	412
3.264	444
3.314	477
3.364	512
3.415	544
3.465	573
3.516	597
3.566	615
3.616	627
3.667	632
3.717	632
3.767	623
3.817	607
3.867	584
3.917	558
3.968	529
4.018	496
4.068	465
4.118	436
4.168	410
4.219	390
4.269	376
4.319	367
4.369	365
4.420	370
4.470	384
4.521	404
4.571	428
4.621	457
4.671	487
4.721	516
4.771	544
4.822	568
4.872	589
4.922	603
4.972	612
5.022	615
5.073	613
5.123	603
5.173	588
5.223	568
5.273	541
5.324	514
5.375	486
5.425	460
5.475	435
5.525	414
5.575	399
5.625	389
5.676	384
5.726	385
5.776	393
5.826	408
5.876	426
5.927	449
5.977	475
6.027	502
6.077	527
6.127	550
6.177	571
6.229	585
6.279	595
6.329	599
6.379	598
6.429	593
6.480	581
6.530	565
6.580	545
6.630	521
6.680	497
6.730	473
6.781	450
6.831	428
6.881	412
6.931	401
6.981	396
7.031	396
7.082	401
7.133	412
7.183	428
7.233	447
7.283	469
7.334	493
7.384	518
7.434	540
7.484	560
7.534	576
7.584	587
7.635	593
7.685	594
7.735	590
7.785	581
7.835	567
7.885	547
7.936	527
7.986	505
8.037	482
8.087	460
8.137	440
8.188	423
8.238	410
8.288	401
8.338	399
8.388	401
8.438	410
8.489	423
8.539	440
8.589	462
8.639	483
8.689	507
8.739	529
8.790	548
8.840	565
8.890	578
8.941	586
8.991	591
9.042	590
9.092	584
9.142	573
9.192	557
9.242	538
9.292	515
9.343	493
9.393	470
9.443	450
9.493	432
9.543	417
9.593	407
9.644	402
9.694	402
9.744	407
9.794	416
9.845	432
9.896	450
9.946	470
9.996	492
10.046	515
10.096	537
10.146	555
10.197	569
10.247	581
10.297	588
10.347	590
10.397	586
10.448	578
10.498	565
10.548	548
10.598	529
10.648	508
10.698	486
10.750	465
10.800	444
10.850	428
10.900	415
10.950	406
11.000	403
11.051	405
11.101	412
11.151	423
11.201	439
11.251	457
11.302	478
11.352	499
11.402	521
11.452	540
11.502	556
11.552	570
11.603	579
11.654	585
11.704	586
11.754	580
11.804	572
11.854	557
11.905	541
11.955	522
12.005	501
12.055	481
12.105	461
12.156	443
12.206	428
12.256	418
12.306	410
12.356	408
12.406	411
12.457	420
12.507	432
12.558	448
12.608	466
12.658	486
12.708	506
12.759	525
12.809	543
12.859	557
12.909	569
12.959	576
13.010	580
13.060	578
13.110	572
13.160	562
13.210	548
13.260	531
13.311	513
13.361	492
13.412	474
13.462	456
13.512	440
13.563	428
13.613	420
13.663	415
13.713	416
13.763	421
13.813	430
13.864	443
13.914	459
13.964	477
14.014	495
14.064	514
14.114	532
14.165	547
14.215	559
14.265	569
14.316	573
14.366	574
14.417	570
14.467	562
14.517	551
14.567	536
14.617	520
14.667	502
14.718	483
14.768	466
14.818	450
14.868	436
14.918	427
14.968	420
15.019	419
15.069	422
15.119	429
15.169	440
15.220	454
15.271	470
15.321	487
15.371	505
15.421	522
15.471	538
15.521	551
15.572	562
15.622	569
15.672	572
15.722	570
15.772	565
15.822	555
15.873	542
15.923	527
15.973	510
16.023	492
16.073	474
16.125	458
16.175	445
16.225	433
16.275	425
16.325	421
16.375	422
16.426	427
16.476	436
16.526	448
16.576	463
16.626	479
16.676	496
16.727	514
16.777	530
16.827	544
16.877	555
16.927	564
16.978	569
17.029	570
17.079	566
17.129	559
17.179	548
17.229	534
17.280	518
17.330	502
17.380	484
17.430	468
17.480	453
17.531	440
17.581	430
17.631	424
17.681	423
17.731	425
17.781	432
17.832	442
17.882	455
17.933	470
17.983	487
18.033	503
18.083	520
18.134	535
18.184	548
18.234	559
18.284	565
18.334	568
18.385	567
18.435	562
18.485	554
18.535	542
18.585	528
18.635	512
18.686	495
18.736	479
18.786	463
18.837	449
18.887	437
18.937	429
18.988	425
19.038	425
19.088	429
19.138	437
19.188	448
19.239	462
19.289	476
19.339	493
19.389	509
19.439	524
19.489	539
19.540	550
19.590	559
19.640	564
19.690	566
19.741	563
19.792	557
19.842	547
19.892	535
19.942	521
19.992	505
20.042	489
20.093	473
20.143	459
20.193	447
20.243	437
20.293	430
20.343	428
20.394	430
20.444	434
20.494	443
20.544	455
20.594	468
20.646	484
20.696	499
20.746	515
20.796	529
20.846	541
20.896	550
20.947	559
20.997	562
21.047	562
21.097	557
21.147	550
21.197	540
21.248	527
21.298	513
21.348	498
21.398	483
21.448	468
21.499	455
21.550	444
21.600	436
21.650	433
21.700	431
21.750	434
21.801	441
21.851	451
21.901	463
21.951	477
22.001	491
22.051	507
22.102	521
22.152	533
22.202	544
22.252	553
22.302	558
22.353	560
22.403	557
22.454	552
22.504	543
