#Creator: pendulumdriveEventBuffer
#Creation time: Fri Apr  7 15:31:08 2017
#Time	Pos
#[s]	[au]
0.049	462
0.101	462
0.151	467
0.201	462
0.251	473
0.301	476
0.351	473
0.402	484
0.452	485
0.502	488
0.552	493
0.602	484
0.652	495
0.703	494
0.753	485
0.803	490
0.853	483
0.903	479
0.954	477
1.005	463
1.055	464
1.105	459
1.155	448
1.205	451
1.256	447
1.306	445
1.356	448
1.406	444
1.456	454
1.506	459
1.557	460
1.607	473
1.657	477
1.707	485
1.757	494
1.808	491
1.858	505
1.909	507
1.959	504
2.009	509
2.059	503
2.110	500
2.160	495
2.210	479
2.260	480
2.310	470
2.360	456
2.411	453
2.461	445
2.511	437
2.561	435
2.611	429
2.662	434
2.712	436
2.762	437
2.813	450
2.863	457
2.913	468
2.964	480
3.014	480
3.064	501
3.114	507
3.164	510
3.214	522
3.265	509
3.315	523
3.365	519
3.415	502
3.465	504
3.516	493
3.566	477
3.616	470
3.666	451
3.717	445
3.767	436
3.818	423
3.868	422
3.918	420
3.968	416
4.018	425
4.069	427
4.119	441
4.169	454
4.219	460
4.269	481
4.319	493
4.370	502
4.420	519
4.470	513
4.520	533
4.570	535
4.621	521
4.672	531
4.722	520
4.772	507
4.822	499
4.872	476
4.923	470
4.973	454
5.023	435
5.073	427
5.123	418
5.173	406
5.224	408
5.274	405
5.324	414
5.374	422
5.424	429
5.474	448
5.526	463
5.576	477
5.626	498
5.676	502
5.726	526
5.777	536
5.827	534
5.877	548
5.927	541
5.977	537
6.027	533
6.078	507
6.128	505
6.178	487
6.228	463
6.278	452
6.328	435
6.379	416
6.430	409
6.480	398
6.530	396
6.580	398
6.631	400
6.681	413
6.731	427
6.781	440
6.831	461
6.881	472
6.932	500
6.982	516
7.032	521
7.082	545
7.132	546
7.182	555
7.233	557
7.283	535
7.334	541
7.384	526
7.434	501
7.485	492
7.535	469
7.585	448
7.635	431
7.685	411
7.735	401
7.786	393
7.836	384
7.886	388
7.936	397
7.986	400
8.037	419
8.087	431
8.137	457
8.187	478
8.238	492
8.288	521
8.339	530
8.389	550
8.439	560
8.489	548
8.539	565
8.589	558
8.640	539
8.690	534
8.740	504
8.790	494
8.840	473
8.891	444
8.941	429
8.991	411
9.041	392
9.092	386
9.142	393
9.193	376
9.243	387
9.293	396
9.343	414
9.393	433
9.443	449
9.494	478
9.544	491
9.594	522
9.644	540
9.694	541
9.745	565
9.795	566
9.845	559
9.895	564
9.945	537
9.996	538
10.047	518
10.097	487
10.147	473
10.197	449
10.247	424
10.298	409
10.348	399
10.398	384
10.448	379
10.498	378
10.548	384
10.599	397
10.649	408
10.699	432
10.749	449
10.799	478
10.849	501
10.901	515
10.951	542
11.001	552
11.051	557
11.101	571
11.152	555
11.202	565
11.252	553
11.302	525
11.352	518
11.402	494
11.453	468
11.503	449
11.553	422
11.603	408
11.653	394
11.703	383
11.754	379
11.805	381
11.855	384
11.905	398
11.955	410
12.006	434
12.056	457
12.106	473
12.156	503
12.206	520
12.256	535
12.307	554
12.357	547
12.407	568
12.457	566
12.507	548
12.557	549
12.608	529
12.658	509
12.709	492
12.759	463
12.809	449
12.860	428
12.910	408
12.960	398
13.010	391
13.060	384
13.110	387
13.161	391
13.211	405
13.261	421
13.311	435
13.361	461
13.411	479
13.462	500
13.512	521
13.562	524
13.613	548
13.663	554
13.714	548
13.764	558
13.814	545
13.864	537
13.914	525
13.964	497
14.015	489
14.065	469
14.115	444
14.165	433
14.215	419
14.266	404
14.316	401
14.366	396
14.416	399
14.466	406
14.517	412
14.568	430
14.618	445
14.668	460
14.718	481
14.768	488
14.818	513
14.869	525
14.919	527
14.969	542
15.019	536
15.069	543
15.120	537
15.170	516
15.220	517
15.270	502
15.320	482
15.370	473
15.422	459
15.472	442
15.522	433
15.572	420
15.622	418
15.672	415
15.723	411
15.773	420
15.823	431
15.873	435
15.923	448
15.974	454
16.024	474
16.074	485
16.124	492
16.174	509
16.224	505
16.275	523
16.326	527
16.376	516
16.426	526
16.476	519
16.526	507
16.577	505
16.627	487
16.677	484
16.727	473
16.777	456
16.828	452
16.878	444
16.928	432
16.978	432
17.028	423
17.078	428
17.129	431
17.179	431
17.230	442
17.280	450
17.330	454
17.381	469
17.431	471
17.481	489
17.531	498
17.581	497
17.631	513
17.682	515
17.732	514
17.782	520
17.832	506
17.882	514
17.932	507
17.983	491
18.033	492
18.083	480
18.134	466
18.184	462
18.235	445
18.285	443
18.335	437
18.385	426
18.435	429
18.485	429
18.536	427
18.586	435
18.636	436
18.686	450
18.736	460
18.786	462
18.837	481
18.887	490
18.937	498
18.987	511
19.038	506
19.089	524
19.139	525
19.189	517
19.239	524
19.289	515
19.339	506
19.390	501
19.440	478
19.490	478
19.540	465
19.590	448
19.640	443
19.691	432
19.741	420
19.791	420
19.841	414
19.891	419
19.943	424
19.993	426
20.043	441
20.093	451
20.143	462
20.193	480
20.244	485
20.294	507
20.344	518
20.394	519
20.444	535
20.494	534
20.545	537
20.595	536
20.645	516
20.695	521
20.745	506
20.796	485
20.847	478
20.897	460
20.947	442
20.997	432
21.047	416
21.098	411
21.148	406
21.198	400
21.248	406
21.298	414
21.349	419
21.399	435
21.449	446
21.499	469
21.549	485
21.599	496
21.650	520
21.701	527
21.751	542
21.801	550
21.851	538
21.901	552
21.952	544
22.002	526
22.052	522
22.102	501
22.152	486
22.203	468
22.253	443
22.303	431
22.353	416
22.403	400
22.453	395
22.504	401
22.554	388
22.605	398
22.655	405
22.705	423
22.755	440
22.806	456
22.856	481
22.906	491
22.956	519
23.006	537
23.057	535
23.107	559
23.157	561
23.207	553
23.257	558
23.307	529
23.358	533
23.408	514
23.458	485
23.509	472
23.559	450
23.610	426
23.660	412
23.710	405
23.760	386
23.810	384
23.860	382
23.911	389
23.961	401
24.011	413
24.061	435
24.111	451
24.161	478
24.212	501
24.262	510
24.312	540
24.362	550
24.413	555
24.464	568
24.514	548
24.564	562
24.614	550
24.664	522
24.714	516
24.765	493
24.815	468
24.865	451
24.915	424
24.965	411
25.015	397
25.066	385
25.116	382
25.166	383
25.216	386
25.266	401
25.318	413
25.368	436
25.418	457
25.468	474
25.518	502
25.568	519
25.619	534
25.669	554
25.719	544
25.769	565
25.819	564
25.869	547
25.920	547
25.970	528
26.020	509
26.070	493
26.120	463
26.171	450
26.222	431
26.272	410
26.322	401
26.372	395
26.422	386
26.473	391
26.523	395
26.573	409
26.623	424
26.673	437
26.723	461
26.774	479
26.824	497
26.874	517
26.924	519
26.974	543
27.025	549
27.075	541
27.126	553
27.176	541
27.226	534
27.276	523
27.327	498
27.377	491
27.427	473
27.477	451
27.527	440
27.578	427
27.628	414
27.678	410
27.728	402
27.778	407
27.828	412
27.879	416
27.929	431
27.979	444
28.030	457
28.080	475
28.130	479
28.181	503
28.231	514
28.281	516
28.331	532
28.381	530
28.432	535
28.482	534
28.532	517
28.582	520
28.632	508
28.682	491
28.733	484
28.783	472
28.833	456
28.883	447
28.934	432
28.984	428
29.035	423
29.085	416
29.135	421
29.185	428
29.235	428
29.286	438
29.336	441
29.386	459
29.436	470
29.486	478
29.536	495
29.587	495
29.637	515
