#Creator: pendulumdriveEventBuffer
#Creation time: Fri Apr  7 15:31:08 2017
#Time	Pos
#[s]	[au]
0.050	490
0.100	488
0.150	496
0.200	493
0.251	493
0.301	494
0.351	482
0.401	488
0.451	483
0.501	473
0.552	476
0.602	468
0.652	466
0.702	467
0.752	458
0.803	465
0.853	465
0.904	462
0.954	469
1.004	468
1.054	470
1.105	475
1.155	471
1.205	481
1.255	480
1.305	476
1.355	483
1.406	478
1.456	482
1.506	483
1.556	476
1.606	483
1.657	481
1.707	477
1.757	481
1.808	475
1.858	479
1.908	480
1.959	473
2.009	480
2.059	478
2.109	472
2.159	477
2.209	471
2.260	472
2.310	472
2.360	464
2.410	470
2.460	468
2.511	464
2.561	469
2.611	463
2.662	469
2.712	473
2.762	469
2.813	479
2.863	481
2.913	481
2.963	488
3.013	483
3.064	491
3.114	493
3.164	485
3.214	492
3.264	488
3.314	481
3.365	483
3.415	470
3.465	472
3.515	469
3.566	459
3.616	462
3.667	459
3.717	454
3.767	459
3.817	456
3.867	463
3.918	468
3.968	466
4.018	478
4.068	482
4.118	484
4.168	493
4.219	487
4.269	498
4.319	499
4.369	490
4.419	496
4.470	492
4.521	484
4.571	484
4.621	471
4.671	472
4.721	467
4.772	458
4.822	460
4.872	458
4.922	454
4.972	458
5.022	456
5.073	464
5.123	468
5.173	467
5.223	478
5.273	481
5.323	483
5.375	491
5.425	484
5.475	495
5.525	495
5.575	488
5.626	493
5.676	488
5.726	482
5.776	483
5.826	472
5.876	475
5.927	471
5.977	464
6.027	467
6.077	465
6.127	464
6.177	467
6.228	461
6.279	470
6.329	472
6.379	468
6.429	477
6.480	477
6.530	476
6.580	482
6.630	476
6.680	483
6.730	482
6.781	476
6.831	483
6.881	480
6.931	479
6.981	482
7.032	473
7.082	482
7.132	481
7.183	475
7.233	481
7.283	479
7.334	477
7.384	479
7.434	471
7.484	477
7.534	475
7.584	468
7.635	473
7.685	472
7.735	468
7.785	469
7.835	462
7.886	469
7.936	470
7.986	466
8.036	474
8.087	473
8.137	477
8.188	484
8.238	478
8.288	489
8.338	491
8.388	488
8.438	493
8.489	485
8.539	489
8.589	488
8.639	477
8.689	480
8.740	475
8.790	466
8.840	467
8.890	461
8.940	460
8.991	460
9.042	454
9.092	462
9.142	463
9.192	463
9.242	472
9.293	471
9.343	480
9.393	486
9.443	484
9.493	494
9.543	494
9.594	491
9.644	497
9.694	488
9.744	492
9.794	489
9.844	477
9.896	480
9.946	474
9.996	466
10.046	466
10.096	457
10.147	460
10.197	460
10.247	454
10.297	463
10.347	465
10.397	465
10.448	473
10.498	470
10.548	481
10.598	486
10.648	481
10.698	491
10.749	490
10.800	486
10.850	492
10.900	480
10.950	486
11.001	484
11.051	475
11.101	479
11.151	474
11.201	469
11.251	472
11.302	464
11.352	468
11.402	470
11.452	464
11.502	473
11.552	472
11.603	470
11.653	477
11.704	472
11.754	479
11.804	480
11.855	474
11.905	481
11.955	479
12.005	476
12.055	480
12.105	471
12.156	478
12.206	478
12.256	473
12.306	479
12.356	478
12.406	476
12.457	481
12.507	474
12.558	482
12.608	482
12.658	476
12.709	482
12.759	480
12.809	477
12.859	478
12.909	468
12.959	474
13.010	472
13.060	464
13.110	469
13.160	467
13.210	465
13.261	469
13.311	463
13.361	473
13.411	474
13.462	473
13.512	481
13.563	482
13.613	484
13.663	491
13.713	483
13.763	493
13.813	492
13.864	484
13.914	489
13.964	484
14.014	479
14.064	478
14.115	467
14.165	470
14.215	466
14.265	458
14.315	462
14.366	460
14.417	458
14.467	464
14.517	461
14.567	470
14.617	475
14.667	474
14.718	485
14.768	485
14.818	489
14.868	495
14.918	487
14.969	495
15.019	494
15.069	486
15.119	488
15.169	480
15.219	477
15.271	476
15.321	464
15.371	468
15.421	465
15.471	458
15.521	463
15.572	462
15.622	463
15.672	467
15.722	464
15.772	474
15.823	477
15.873	476
15.923	485
15.973	479
16.023	487
16.073	490
16.124	482
16.175	489
16.225	486
16.275	480
16.325	483
16.376	475
16.426	476
16.476	476
16.526	468
16.576	474
16.626	472
16.677	467
16.727	473
16.777	467
16.827	473
16.877	476
16.927	469
16.978	478
17.028	478
17.079	475
17.129	479
17.179	473
17.230	476
17.280	478
17.330	471
17.380	477
17.430	475
17.480	472
17.531	477
17.581	469
17.631	478
17.681	480
17.731	474
17.781	482
17.832	482
17.882	480
17.932	485
17.983	477
18.033	484
18.084	483
18.134	474
18.184	479
18.234	475
18.284	470
18.334	471
18.385	462
18.435	467
18.485	467
18.535	461
18.585	467
18.635	468
18.686	467
18.736	475
18.786	471
18.836	482
18.887	485
18.938	482
18.988	491
19.038	491
19.088	489
19.138	493
19.188	483
19.239	489
19.289	485
19.339	475
19.389	477
19.439	471
19.489	465
19.540	465
19.590	457
19.640	462
19.690	461
19.740	458
19.792	465
19.842	467
19.892	468
19.942	476
19.992	473
20.042	485
20.093	489
20.143	485
20.193	494
20.243	493
20.293	491
20.344	494
20.394	482
20.444	488
20.494	483
20.544	473
20.594	475
20.645	469
20.696	464
20.746	465
20.796	457
20.846	463
20.896	463
20.947	461
20.997	469
21.047	470
21.097	472
21.147	479
21.198	477
21.248	486
21.298	488
21.348	484
21.398	491
21.448	490
21.499	487
21.549	488
21.600	477
21.650	482
21.700	479
21.750	470
21.801	474
21.851	469
21.901	467
21.951	469
22.001	463
22.052	470
22.102	471
22.152	468
22.202	476
22.252	474
22.302	477
22.353	482
22.403	476
22.454	485
22.504	484
22.554	478
22.605	483
22.655	477
22.705	477
22.755	478
22.805	469
22.855	476
22.906	473
22.956	468
23.006	474
23.056	471
23.106	473
23.156	477
23.207	471
23.257	480
23.307	481
23.358	478
23.408	484
23.459	479
23.509	482
23.559	484
23.609	475
23.659	481
23.709	478
23.760	470
23.810	474
23.860	467
23.910	469
23.960	469
24.010	463
24.061	470
24.111	470
24.161	468
24.211	475
24.262	471
24.313	480
