#Creator: pendulumdriveEventBuffer
#Creation time: Fri Apr  7 15:31:08 2017
#Time	Pos
#[s]	[au]
0.050	464
0.100	455
0.150	454
0.200	453
0.250	444
0.301	448
0.351	447
0.401	441
0.451	449
0.501	443
0.551	456
0.602	462
0.652	459
0.702	473
0.752	478
0.802	479
0.853	491
0.903	484
0.954	498
1.004	500
1.054	490
1.104	501
1.155	496
1.205	489
1.255	489
1.305	471
1.355	474
1.405	466
1.456	452
1.506	451
1.556	443
1.606	433
1.656	434
1.707	426
1.757	430
1.807	432
1.858	430
1.908	441
1.958	447
2.009	452
2.059	466
2.109	464
2.159	485
2.209	494
2.260	492
2.310	509
2.360	511
2.410	512
2.460	517
2.510	500
2.561	511
2.611	504
2.661	484
2.711	486
2.762	473
2.812	459
2.863	453
2.913	436
2.963	433
3.013	425
3.063	415
3.114	416
3.164	417
3.214	416
3.264	425
3.314	427
3.364	443
3.415	454
3.465	460
3.515	480
3.565	488
3.616	499
3.666	514
3.717	509
3.767	527
3.817	528
3.867	519
3.917	525
3.968	515
4.018	505
4.068	499
4.118	477
4.168	473
4.218	459
4.269	439
4.319	431
4.369	422
4.419	409
4.469	408
4.520	402
4.571	407
4.621	413
4.671	414
4.721	430
4.771	442
4.822	453
4.872	471
4.922	476
4.972	500
5.022	511
5.072	512
5.123	531
5.173	530
5.223	535
5.273	535
5.323	517
5.373	521
5.425	509
5.475	486
5.525	482
5.575	465
5.625	448
5.676	437
5.726	419
5.776	413
5.826	406
5.876	398
5.926	401
5.977	409
6.027	408
6.077	420
6.127	427
6.177	447
6.228	463
6.278	473
6.329	495
6.379	499
6.429	520
6.479	531
6.530	527
6.580	542
6.630	539
6.680	529
6.730	529
6.780	508
6.831	503
6.881	490
6.931	466
6.981	457
7.031	441
7.082	422
7.132	414
7.182	410
7.233	396
7.283	397
7.333	395
7.384	404
7.434	413
7.484	419
7.534	440
7.584	447
7.634	472
7.685	490
7.735	494
7.785	519
7.835	528
7.885	532
7.936	544
7.986	528
8.036	542
8.086	535
8.137	513
8.187	511
8.238	494
8.288	474
8.338	463
8.388	438
8.438	429
8.488	416
8.539	401
8.589	397
8.639	395
8.689	392
8.739	399
8.790	403
8.840	418
8.890	433
8.940	442
8.990	467
9.041	483
9.092	496
9.142	517
9.192	515
9.242	540
9.292	545
9.343	535
9.393	546
9.443	537
9.493	526
9.543	518
9.593	492
9.644	486
9.694	468
9.744	444
9.794	433
9.844	418
9.894	402
9.946	396
9.996	388
10.046	390
10.096	394
10.146	398
10.197	411
10.247	426
10.297	438
10.347	460
10.397	470
10.447	497
10.498	513
10.548	516
10.598	539
10.648	541
10.698	548
10.748	550
10.799	530
10.850	538
10.900	524
10.950	500
11.000	494
11.051	473
11.101	453
11.151	439
11.201	418
11.251	409
11.301	399
11.352	388
11.402	388
11.452	391
11.502	392
11.552	405
11.602	414
11.653	434
11.703	452
11.754	462
11.804	490
11.854	502
11.905	520
11.955	535
12.005	529
12.055	551
12.105	550
12.155	538
12.206	543
12.256	525
12.306	516
12.356	503
12.406	476
12.456	466
12.507	447
12.557	424
12.608	414
12.658	403
12.708	389
12.759	388
12.809	386
12.859	392
12.909	401
12.959	408
13.009	426
13.060	443
13.110	460
13.160	481
13.210	488
13.260	516
13.311	528
13.361	532
13.411	549
13.461	537
13.512	551
13.562	547
13.613	523
13.663	525
13.713	508
13.763	485
13.813	475
13.863	453
13.914	433
13.964	421
14.014	405
14.064	397
14.114	391
14.165	385
14.215	389
14.265	399
14.315	404
14.365	420
14.416	430
14.467	454
14.517	472
14.567	484
14.617	509
14.667	511
14.717	537
14.768	545
14.818	538
14.868	552
14.918	546
14.968	533
15.019	531
15.069	505
15.119	500
15.169	483
15.219	457
15.269	446
15.321	428
15.371	410
15.421	402
15.471	391
15.521	388
15.572	390
15.622	391
15.672	402
15.722	415
15.772	425
15.822	446
15.873	455
15.923	483
15.973	501
16.023	507
16.073	530
16.123	537
16.174	543
16.225	551
16.275	535
16.325	544
16.375	534
16.426	510
16.476	507
16.526	487
16.576	466
16.626	454
16.676	430
16.727	420
16.777	407
16.827	395
16.877	392
16.927	391
16.977	389
17.028	400
17.078	406
17.129	424
17.179	440
17.229	452
17.280	475
17.330	491
17.380	505
17.430	525
17.480	524
17.530	545
17.581	548
17.631	538
17.681	546
17.731	533
17.781	523
17.831	513
17.882	486
17.932	479
17.982	461
18.033	436
18.083	427
18.134	414
18.184	397
18.234	394
18.284	388
18.334	392
18.384	397
18.435	402
18.485	418
18.535	432
18.585	446
18.635	468
18.685	476
18.736	503
18.786	517
18.836	522
18.886	541
18.937	541
18.988	547
19.038	547
19.088	531
19.138	531
19.188	518
19.238	493
19.289	487
19.339	465
19.389	448
19.439	434
19.489	414
19.540	406
19.590	398
19.640	389
19.690	391
19.740	401
19.790	398
19.842	412
19.892	421
19.942	443
19.992	460
20.042	472
20.092	496
20.143	502
20.193	525
20.243	537
20.293	532
20.343	548
20.394	545
20.444	535
20.494	536
20.544	511
20.594	510
20.644	494
20.695	467
20.746	459
20.796	441
20.846	421
20.896	412
20.946	407
20.997	392
21.047	392
21.097	391
21.147	399
21.197	408
21.248	416
21.298	436
21.348	447
21.398	469
21.448	487
21.498	492
21.549	520
21.599	529
21.650	531
21.700	547
21.750	532
21.800	547
21.851	539
21.901	518
21.951	517
22.001	499
22.051	478
22.102	467
22.152	443
22.202	432
22.252	418
22.302	403
22.352	398
22.403	394
22.453	388
22.504	396
22.554	401
22.604	413
22.655	429
22.705	437
22.755	462
22.805	478
22.855	491
22.905	513
22.956	514
23.006	537
23.056	543
23.106	537
23.156	548
23.206	539
23.257	529
23.307	523
23.357	497
23.408	492
23.458	475
23.509	452
23.559	441
23.609	425
23.659	408
23.709	401
23.759	394
23.810	393
23.860	394
23.910	396
23.960	409
24.010	422
24.060	432
24.111	454
24.161	462
24.211	489
24.261	505
24.312	509
24.363	532
24.413	537
24.463	542
24.513	548
24.563	530
24.613	539
24.664	528
24.714	507
24.764	500
24.814	481
24.864	462
24.914	448
24.965	427
25.015	417
25.065	406
25.115	393
25.165	393
25.217	395
25.267	393
25.317	405
25.367	411
25.417	430
25.467	446
25.518	456
25.568	481
25.618	494
25.668	511
25.718	527
25.768	523
25.819	544
25.869	546
25.919	537
25.969	542
26.019	526
26.070	519
26.121	507
26.171	480
26.221	475
26.271	456
26.321	434
26.372	424
26.422	412
26.472	397
26.522	395
26.572	390
26.623	395
26.673	401
26.723	407
26.773	423
26.823	439
26.873	453
26.924	473
26.974	481
27.025	507
27.075	520
27.125	523
27.175	541
27.226	529
27.276	547
27.326	544
27.376	524
27.426	527
27.477	512
27.527	491
27.577	482
27.627	460
27.677	443
27.727	431
27.778	412
27.828	405
27.878	398
