#Creator: pendulumdriveEventBuffer
#Creation time: Fri Apr  7 15:31:08 2017
#Time	Pos
#[s]	[au]
0.050	477
0.100	478
0.150	473
0.200	460
0.251	462
0.302	457
0.352	446
0.402	449
0.452	445
0.502	444
0.553	444
0.603	437
0.653	447
0.703	449
0.753	448
0.803	458
0.854	458
0.904	467
0.954	471
1.004	468
1.054	481
1.104	483
1.156	481
1.206	489
1.256	482
1.306	490
1.356	489
1.407	479
1.457	485
1.507	481
1.557	474
1.607	476
1.657	463
1.708	468
1.758	464
1.808	455
1.858	459
1.908	455
1.958	449
2.009	454
2.060	444
2.110	455
2.160	455
2.210	449
2.261	459
2.311	460
2.361	459
2.411	465
2.461	459
2.511	471
2.562	473
2.612	466
2.662	476
2.712	475
2.762	474
2.812	479
2.863	468
2.913	479
2.964	478
3.014	468
3.064	477
3.115	474
3.165	471
3.215	474
3.265	464
3.315	471
3.365	470
3.416	462
3.466	468
3.516	465
3.566	462
3.616	464
3.666	455
3.717	462
3.767	462
3.817	454
3.868	461
3.918	459
3.969	456
4.019	461
4.069	452
4.119	462
4.169	463
4.219	457
4.270	466
4.320	466
4.370	467
4.420	472
4.470	465
4.521	476
4.571	477
4.621	473
4.671	481
4.722	479
4.772	480
4.823	483
4.873	471
4.923	481
4.973	479
5.023	471
5.073	475
5.124	470
5.174	466
5.224	466
5.274	455
5.324	460
5.375	456
5.425	448
5.475	453
5.525	450
5.575	448
5.626	451
5.677	444
5.727	454
5.777	456
5.827	455
5.877	464
5.927	465
5.978	470
6.028	476
6.078	470
6.128	483
6.178	486
6.229	480
6.279	490
6.329	486
6.379	490
6.429	489
6.479	476
6.531	483
6.581	480
6.631	469
6.681	472
6.731	465
6.782	462
6.832	459
6.882	446
6.932	451
6.982	448
7.032	443
7.083	446
7.133	446
7.183	448
7.233	450
7.283	446
7.333	457
7.384	461
7.435	460
7.485	471
7.535	469
7.585	479
7.636	483
7.686	475
7.736	488
7.786	489
7.836	485
7.886	490
7.937	479
7.987	487
8.037	484
8.087	474
8.137	477
8.187	472
8.238	464
8.288	465
8.339	457
8.389	458
8.439	455
8.490	445
8.540	451
8.590	449
8.640	446
8.690	452
8.740	445
8.791	455
8.841	458
8.891	456
8.941	465
8.991	467
9.041	467
9.092	475
9.142	469
9.192	480
9.243	482
9.293	474
9.344	484
9.394	483
9.444	479
9.494	483
9.544	471
9.594	480
9.645	477
9.695	468
9.745	473
9.795	469
9.845	464
9.895	466
9.946	455
9.996	462
10.046	460
10.096	451
10.147	459
10.198	458
10.248	456
10.298	459
10.348	451
10.398	460
10.448	462
10.499	456
10.549	465
10.599	465
10.649	465
10.699	469
10.750	461
10.800	472
10.850	473
10.900	466
10.950	476
11.000	474
11.052	474
11.102	477
11.152	469
11.202	478
11.252	477
11.302	471
11.353	477
11.403	474
11.453	472
11.503	474
11.553	461
11.604	471
11.654	468
11.704	460
11.754	465
11.804	461
11.854	458
11.905	460
11.956	449
12.006	457
12.056	456
12.106	450
12.156	457
12.207	456
12.257	456
12.307	461
12.357	454
12.407	466
12.458	468
12.508	465
12.558	475
12.608	474
12.658	480
12.708	483
12.759	476
12.809	485
12.860	485
12.910	479
12.960	486
13.010	480
13.061	481
13.111	480
13.161	467
13.211	472
13.261	468
13.312	458
13.362	461
13.412	455
13.462	453
13.512	452
13.562	443
13.613	449
13.663	449
13.713	444
13.764	452
13.814	456
13.865	456
13.915	461
13.965	457
14.015	469
14.065	472
14.115	472
14.166	481
14.216	478
14.266	486
14.316	489
14.366	480
14.416	490
14.467	487
14.517	482
14.567	486
14.617	475
14.668	479
14.719	475
14.769	462
14.819	467
14.869	462
14.919	453
14.969	456
15.020	447
15.070	451
15.120	450
15.170	442
15.220	451
15.270	451
15.321	449
15.371	457
15.421	451
15.471	463
15.521	466
15.573	462
15.623	474
15.673	476
15.723	476
15.773	483
15.823	474
15.874	485
15.924	485
15.974	477
16.024	484
16.074	481
16.124	477
16.175	479
16.225	466
16.275	473
16.325	470
16.375	459
16.426	465
16.477	462
16.527	456
16.577	459
16.627	449
16.677	457
16.728	457
16.778	449
16.828	458
16.878	457
16.928	456
16.978	462
17.029	454
17.079	466
17.129	467
17.179	462
17.229	471
17.280	471
17.331	470
17.381	476
17.431	467
17.481	478
17.531	478
17.582	470
17.632	478
17.682	476
17.732	474
17.782	477
17.833	468
17.883	476
17.933	474
17.983	466
18.033	472
18.083	468
18.134	466
18.184	467
18.235	457
18.285	464
18.335	462
18.385	454
18.436	460
18.486	457
18.536	456
18.586	459
18.636	450
18.687	459
18.737	459
18.787	454
18.837	463
18.887	463
18.937	465
18.988	469
19.038	464
19.088	474
19.139	476
19.189	470
19.239	481
19.290	479
19.340	481
19.390	484
19.440	472
19.490	483
19.541	481
19.591	473
19.641	478
19.691	472
19.741	472
19.791	469
19.842	456
19.892	463
19.942	459
19.992	450
20.043	455
20.094	451
20.144	450
20.194	452
20.244	444
20.294	454
20.344	455
20.395	452
20.445	461
20.495	463
20.545	466
20.595	471
20.645	465
20.696	478
20.746	480
20.796	477
20.846	486
20.896	480
20.948	488
20.998	487
21.048	477
21.098	486
21.148	482
21.198	473
21.249	476
21.299	468
21.349	469
21.399	466
21.449	454
21.499	459
21.550	455
21.600	448
21.650	453
21.700	447
21.750	451
21.801	452
21.852	446
21.902	455
21.952	457
22.002	455
22.052	464
22.103	462
22.153	471
22.203	474
22.253	468
22.303	480
22.353	481
22.404	479
22.454	485
22.504	474
22.554	485
22.604	484
22.655	476
22.705	481
22.756	478
22.806	472
22.856	473
22.906	461
22.957	468
23.007	464
23.057	455
23.107	460
23.157	457
23.207	453
23.258	456
23.308	447
23.358	456
23.408	456
23.458	450
23.509	459
23.559	460
23.609	460
23.660	466
23.710	458
23.760	470
23.811	472
23.861	467
23.911	476
23.961	475
24.011	474
24.062	479
24.112	470
24.162	480
24.212	479
24.262	470
24.312	479
24.363	475
24.413	472
24.463	475
24.513	463
24.564	471
24.614	469
24.665	460
24.715	466
24.765	463
24.815	460
24.865	461
24.916	453
24.966	460
25.016	459
25.066	453
25.116	459
25.166	458
25.217	457
25.267	461
25.317	455
25.367	464
25.417	465
25.468	461
25.519	470
25.569	469
25.619	472
25.669	476
25.719	468
25.770	479
25.820	480
25.870	474
25.920	482
25.970	479
