#Creator: pendulumdriveEventBuffer
#Creation time: Fri Apr  7 15:31:08 2017
#Time	Pos
#[s]	[au]
0.050	393
0.100	430
0.150	465
0.201	501
0.251	537
0.301	571
0.352	601
0.402	625
0.452	641
0.503	648
0.553	645
0.603	635
0.653	620
0.703	595
0.754	563
0.804	527
0.854	492
0.904	456
0.954	421
1.004	389
1.055	363
1.105	344
1.155	333
1.205	331
1.256	336
1.306	349
1.357	371
1.407	402
1.457	440
1.507	473
1.557	508
1.608	544
1.658	577
1.708	603
1.758	624
1.808	638
1.858	643
1.909	642
1.959	633
2.009	616
2.059	591
2.109	560
2.161	526
2.211	489
2.261	453
2.311	420
2.361	391
2.411	368
2.462	351
2.512	342
2.562	339
2.612	345
2.662	359
2.712	381
2.763	409
2.813	442
2.863	476
2.913	512
2.963	545
3.014	574
3.065	598
3.115	615
3.165	626
3.215	630
3.265	629
3.316	619
3.366	601
3.416	577
3.466	550
3.516	519
3.566	486
3.617	454
3.667	425
3.717	399
3.767	379
3.817	365
3.868	357
3.918	356
3.969	364
4.019	379
4.069	400
4.119	427
4.170	456
4.220	486
4.270	516
4.320	543
4.370	568
4.420	588
4.471	601
4.521	609
4.571	612
4.621	607
4.671	596
4.722	579
4.772	557
4.822	530
4.873	502
4.923	474
4.973	448
5.024	423
5.074	403
5.124	388
5.174	380
5.224	377
5.274	380
5.325	389
5.375	404
5.425	424
5.475	450
5.525	476
5.576	504
5.626	529
5.676	552
5.726	572
5.777	585
5.827	593
5.878	596
5.928	594
5.978	587
6.028	574
6.078	556
6.129	534
6.179	509
6.229	484
6.279	459
6.329	436
6.379	415
6.430	400
6.480	391
6.530	386
6.580	388
6.630	395
6.681	408
6.732	425
6.782	446
6.832	469
6.882	494
6.932	519
6.983	541
7.033	560
7.083	576
7.133	585
7.183	591
7.233	591
7.284	585
7.334	575
7.384	558
7.434	539
7.484	517
7.534	493
7.586	470
7.636	447
7.686	428
7.736	411
7.786	399
7.837	393
7.887	391
7.937	395
7.987	404
8.037	420
8.087	439
8.138	461
8.188	484
8.238	507
8.288	529
8.338	549
8.388	565
8.439	577
8.490	585
8.540	587
8.590	586
8.640	578
8.691	565
8.741	547
8.791	527
8.841	505
8.891	481
8.941	459
8.992	438
9.042	420
9.092	407
9.142	398
9.192	394
9.242	395
9.293	402
9.343	413
9.394	430
9.444	449
9.494	470
9.545	493
9.595	517
9.645	537
9.695	556
9.745	570
9.795	579
9.846	585
9.896	585
9.946	581
9.996	571
10.046	557
10.097	538
10.147	519
10.197	497
10.247	474
10.298	452
10.348	433
10.399	418
10.449	405
10.499	398
10.549	396
10.599	399
10.649	408
10.700	421
10.750	438
10.800	457
10.850	478
10.900	500
10.951	522
11.001	540
11.051	557
11.101	569
11.152	578
11.202	582
11.253	580
11.303	574
11.353	563
11.403	548
11.453	530
11.503	511
11.554	489
11.604	468
11.654	449
11.704	432
11.754	418
11.805	409
11.855	403
11.905	403
11.955	407
12.005	417
12.056	431
12.107	448
12.157	467
12.207	488
12.257	508
12.307	527
12.358	543
12.408	557
12.458	567
12.508	574
12.558	575
12.608	571
12.659	564
12.709	552
12.759	537
12.809	520
12.859	500
12.909	480
12.961	461
13.011	443
13.061	429
13.111	417
13.161	411
13.212	408
13.262	411
13.312	417
13.362	428
13.412	443
13.462	459
13.513	478
13.563	498
13.613	517
13.663	534
13.713	548
13.763	559
13.814	567
13.865	570
13.915	569
13.965	564
14.015	554
14.066	541
14.116	525
14.166	508
14.216	489
14.266	470
14.316	453
14.367	437
14.417	425
14.467	416
14.517	412
14.567	412
14.617	417
14.668	426
14.718	438
14.769	453
14.819	471
14.869	489
14.920	507
14.970	524
15.020	539
15.070	552
15.120	561
15.170	567
15.221	568
15.271	564
15.321	557
15.371	546
15.421	531
15.471	515
15.522	497
15.572	480
15.622	462
15.673	446
15.723	433
15.774	423
15.824	416
15.874	414
15.924	416
15.974	423
16.024	433
16.075	447
16.125	463
16.175	480
16.225	498
16.275	515
16.326	531
16.376	544
16.426	555
16.476	562
16.526	566
16.577	564
16.628	560
