#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	593	0.050	464
0.076	582	0.102	464
0.126	565	0.152	464
0.177	543	0.203	464
0.227	518	0.253	464
0.279	489	0.304	465
0.329	459	0.354	465
0.380	430	0.406	464
0.430	403	0.456	465
0.481	378	0.507	465
0.532	359	0.557	464
0.583	345	0.608	464
0.633	338	0.659	465
0.684	335	0.710	464
0.734	340	0.760	464
0.786	352	0.811	464
0.836	368	0.861	464
0.887	390	0.913	464
0.937	416	0.963	464
0.988	445	1.014	465
1.038	474	1.064	464
1.090	503	1.115	464
1.140	530	1.165	464
1.191	554	1.217	464
1.241	574	1.267	464
1.292	587	1.318	465
1.343	594	1.368	464
1.394	596	1.419	465
1.444	590	1.470	464
1.495	579	1.521	464
1.545	561	1.571	465
1.597	539	1.622	465
1.647	513	1.672	464
1.698	485	1.724	465
1.748	457	1.774	465
1.799	428	1.825	465
1.849	401	1.875	465
1.901	378	1.926	465
1.951	359	1.976	464
2.002	346	2.028	465
2.052	340	2.078	464
2.103	338	2.129	464
2.154	343	2.179	464
2.205	355	2.230	464
2.255	372	2.281	463
2.306	394	2.332	464
2.356	419	2.382	463
2.408	447	2.433	463
2.458	476	2.483	464
2.509	504	2.535	464
2.559	531	2.585	464
2.610	554	2.636	464
2.660	573	2.686	464
2.712	586	2.737	465
2.762	593	2.787	465
2.813	594	2.839	465
2.863	587	2.889	465
2.914	576	2.940	465
2.965	558	2.990	465
3.016	536	3.041	465
3.067	510	3.092	465
3.117	482	3.143	465
3.168	454	3.193	465
3.219	426	3.244	465
3.270	400	3.294	464
3.320	377	3.346	464
3.371	360	3.396	464
3.421	347	3.447	464
3.473	340	3.497	464
3.523	340	3.548	463
3.574	347	3.598	464
3.624	358	3.650	463
3.675	375	3.700	464
3.725	397	3.751	464
3.777	423	3.801	464
3.827	450	3.852	464
3.878	478	3.903	464
3.928	507	3.954	464
3.979	532	4.004	465
4.030	554	4.055	465
4.081	572	4.105	465
4.131	585	4.157	465
4.182	592	4.207	465
4.232	591	4.258	465
4.284	585	4.308	465
4.334	573	4.359	465
4.385	555	4.409	465
4.435	533	4.461	465
4.486	508	4.511	465
4.536	480	4.562	465
4.588	451	4.612	465
4.638	424	4.663	465
4.689	399	4.714	465
4.739	377	4.765	464
4.790	360	4.815	464
4.841	348	4.866	464
4.892	343	4.916	464
4.942	342	4.968	464
4.993	349	5.018	464
5.043	361	5.069	463
5.095	379	5.119	464
5.145	400	5.170	464
5.196	426	5.220	464
5.246	453	5.272	464
5.297	481	5.322	464
5.347	508	5.373	464
5.399	533	5.423	465
5.449	556	5.474	465
5.500	573	5.525	465
5.550	584	5.576	465
5.601	591	5.626	465
5.652	590	5.677	465
5.703	583	5.727	466
5.753	570	5.779	466
5.804	552	5.829	466
5.854	530	5.880	465
5.906	504	5.930	465
5.956	477	5.981	465
6.007	449	6.031	465
6.057	422	6.083	464
6.108	399	6.133	464
6.158	376	6.184	464
6.210	360	6.234	464
6.260	349	6.285	464
6.311	344	6.336	464
6.361	345	6.387	463
6.412	351	6.437	463
6.463	365	6.488	464
6.514	382	6.538	464
6.564	404	6.590	464
6.615	429	6.640	463
6.665	456	6.691	464
6.717	484	6.741	464
6.767	510	6.792	464
6.818	535	6.842	465
6.868	555	6.894	464
6.919	573	6.945	465
6.969	583	6.995	465
7.021	588	7.046	465
7.071	587	7.096	465
7.122	580	7.148	465
7.172	567	7.198	465
7.223	549	7.249	465
7.274	527	7.299	465
7.325	501	7.350	465
7.375	475	7.401	465
7.426	448	7.452	465
7.476	421	7.502	464
7.528	397	7.553	464
7.578	376	7.603	464
7.629	360	7.655	464
7.679	350	7.705	463
7.730	345	7.756	464
7.780	346	7.806	463
7.832	353	7.857	463
7.882	367	7.907	463
7.933	385	7.959	464
7.983	407	8.009	464
8.034	431	8.060	464
8.085	459	8.110	464
8.136	486	8.161	465
8.186	512	8.212	464
8.237	536	8.263	465
8.287	557	8.313	465
8.339	572	8.364	465
8.389	582	8.414	465
8.440	587	8.466	465
8.490	586	8.516	465
8.541	578	8.567	465
8.591	564	8.617	465
8.643	546	8.668	465
8.693	524	8.718	465
8.744	499	8.770	466
8.794	472	8.820	464
8.845	444	8.871	464
8.896	419	8.921	465
8.947	395	8.972	464
8.997	376	9.023	464
9.048	361	9.074	463
9.098	351	9.124	463
9.150	347	9.175	463
9.200	349	9.225	463
9.251	356	9.277	463
9.301	370	9.327	464
9.352	388	9.378	464
9.402	410	9.428	464
9.454	435	9.479	464
9.504	462	9.529	464
9.555	488	9.581	465
9.605	514	9.631	465
9.656	537	9.682	465
9.707	557	9.732	465
9.758	572	9.783	466
9.808	582	9.834	465
9.859	586	9.885	465
9.909	584	9.935	465
9.961	575	9.986	465
10.011	562	10.036	466
10.062	544	10.088	466
10.112	521	10.138	465
10.163	496	10.189	464
10.214	470	10.239	465
10.265	443	10.290	464
10.315	418	10.340	464
10.366	395	10.392	464
10.416	375	10.442	463
10.467	362	10.493	462
10.518	352	10.543	463
10.569	347	10.594	463
10.619	351	10.645	463
10.670	358	10.696	463
10.720	372	10.746	463
10.772	390	10.797	464
10.822	412	10.847	463
10.873	437	10.899	465
10.923	464	10.949	464
10.974	490	11.000	464
11.025	515	11.050	464
11.076	538	11.101	465
11.126	558	11.151	465
11.177	572	11.203	466
11.227	580	11.253	466
11.278	584	11.304	466
11.329	581	11.354	466
11.380	573	11.405	466
11.431	560	11.456	465
11.481	541	11.507	465
11.532	518	11.557	465
11.583	493	11.608	464
11.634	467	11.658	465
11.684	441	11.710	464
11.735	416	11.760	464
11.785	393	11.811	463
11.837	375	11.861	464
11.887	361	11.912	463
11.938	353	11.962	464
11.988	349	12.014	463
12.039	352	12.064	463
12.089	361	12.115	464
12.141	375	12.165	463
12.191	393	12.216	463
12.242	416	12.267	464
12.292	440	12.318	464
12.343	466	12.368	464
12.394	492	12.419	465
12.445	517	12.469	465
12.495	540	12.521	465
12.546	557	12.571	465
12.596	571	12.622	466
12.648	579	12.672	466
12.698	583	12.723	465
12.749	579	12.774	465
12.799	570	12.825	466
12.850	557	12.875	465
12.900	537	12.926	464
12.952	515	12.976	465
13.002	491	13.027	464
13.053	465	13.078	465
13.103	439	13.129	464
13.154	414	13.179	464
13.205	393	13.230	463
13.256	375	13.280	463
13.306	362	13.332	463
13.357	354	13.382	464
13.407	351	13.433	463
13.459	354	13.483	464
13.509	364	13.534	463
13.560	377	13.585	464
13.610	396	13.636	464
13.661	419	13.686	464
13.711	443	13.737	465
