#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	552	0.051	266
0.076	550	0.101	272
0.127	549	0.153	275
0.177	550	0.203	280
0.228	551	0.254	279
0.279	556	0.304	279
0.330	557	0.355	279
0.380	559	0.406	278
0.431	559	0.457	279
0.481	557	0.507	274
0.532	561	0.558	276
0.583	561	0.608	276
0.634	559	0.659	278
0.685	559	0.710	279
0.735	558	0.761	279
0.786	556	0.811	275
0.837	554	0.862	274
0.888	553	0.912	270
0.938	553	0.964	269
0.989	554	1.014	265
1.039	556	1.065	265
1.091	556	1.115	265
1.141	558	1.166	263
1.192	560	1.217	262
1.242	564	1.268	262
1.293	567	1.318	261
1.343	570	1.369	260
1.395	573	1.419	259
1.445	576	1.470	258
1.496	577	1.521	259
1.546	581	1.572	256
1.597	585	1.622	257
1.648	588	1.673	255
1.699	590	1.723	255
1.749	591	1.775	254
1.800	592	1.825	254
1.850	593	1.876	253
1.902	595	1.926	251
1.952	596	1.977	248
2.003	595	2.028	243
2.053	596	2.079	243
2.104	595	2.129	241
2.154	593	2.180	240
2.206	591	2.230	239
2.256	591	2.281	237
2.307	589	2.332	236
2.357	592	2.383	238
2.408	591	2.433	235
2.459	593	2.484	236
2.510	594	2.534	240
2.560	593	2.586	258
2.611	584	2.636	286
2.661	567	2.687	324
2.713	545	2.737	371
2.763	517	2.788	422
2.814	485	2.839	476
2.864	452	2.890	529
2.915	419	2.940	579
2.966	386	2.991	623
3.017	358	3.041	659
3.067	335	3.092	686
3.118	318	3.143	701
3.168	309	3.194	701
3.219	307	3.244	691
3.270	312	3.295	671
3.321	324	3.345	640
3.371	344	3.397	600
3.422	369	3.447	552
3.472	398	3.498	500
3.524	430	3.548	447
3.574	463	3.599	394
3.625	495	3.650	344
3.675	526	3.701	301
3.726	551	3.752	267
3.777	571	3.802	245
3.828	584	3.853	236
3.878	590	3.903	240
3.929	589	3.955	254
3.979	579	4.005	280
4.030	563	4.056	318
4.081	541	4.106	361
4.132	513	4.157	412
4.182	483	4.208	466
4.233	450	4.259	518
4.283	418	4.309	568
4.335	387	4.360	613
4.385	360	4.410	651
4.436	337	4.462	679
4.486	321	4.512	696
4.537	313	4.563	700
4.588	310	4.613	692
4.639	316	4.664	674
4.689	329	4.714	645
4.740	348	4.766	608
4.790	372	4.816	563
4.841	401	4.867	511
4.892	432	4.917	459
4.943	464	4.968	405
4.993	496	5.019	356
5.044	525	5.070	312
5.094	550	5.120	278
5.146	569	5.171	252
5.196	582	5.221	240
5.247	587	5.273	241
5.297	586	5.323	253
5.348	575	5.374	276
5.399	559	5.424	310
5.450	537	5.475	352
5.500	510	5.526	401
5.551	480	5.577	453
5.601	449	5.627	506
5.652	417	5.678	556
5.703	388	5.728	602
5.754	361	5.779	641
5.804	339	5.830	670
5.855	323	5.881	691
5.905	316	5.931	697
5.957	313	5.982	691
6.007	319	6.032	675
6.058	332	6.084	650
6.108	350	6.134	615
6.159	374	6.185	572
6.210	403	6.235	523
6.261	433	6.286	471
6.311	466	6.337	419
6.362	496	6.388	370
6.412	525	6.438	326
6.463	549	6.489	288
6.514	568	6.539	262
6.565	580	6.590	247
6.615	585	6.641	244
6.666	584	6.692	254
6.716	574	6.742	273
6.768	558	6.793	305
6.818	536	6.843	345
6.869	509	6.895	391
6.919	480	6.945	441
6.970	448	6.996	493
7.021	417	7.046	542
7.072	387	7.097	588
7.122	361	7.148	628
7.173	339	7.199	660
