#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	537	0.051	462
0.076	523	0.102	462
0.127	508	0.153	462
0.177	489	0.203	463
0.229	467	0.254	462
0.279	444	0.304	463
0.330	422	0.355	463
0.380	403	0.406	463
0.431	385	0.457	462
0.481	369	0.507	463
0.533	358	0.558	463
0.583	350	0.608	462
0.634	348	0.660	463
0.684	351	0.710	463
0.735	359	0.761	463
0.787	371	0.811	463
0.837	388	0.862	462
0.888	408	0.913	462
0.938	428	0.964	462
0.989	451	1.014	462
1.040	473	1.065	463
1.091	494	1.115	462
1.141	514	1.167	462
1.192	529	1.217	462
1.242	541	1.268	462
1.293	546	1.318	462
1.344	548	1.369	461
1.395	544	1.419	462
1.445	536	1.471	462
1.496	523	1.521	462
1.546	507	1.572	462
1.598	489	1.622	463
1.648	468	1.673	463
1.699	446	1.724	463
1.749	424	1.775	463
1.800	404	1.825	463
1.851	386	1.876	462
1.902	373	1.926	463
1.952	362	1.978	463
2.003	357	2.028	463
2.053	355	2.079	463
2.104	359	2.129	463
2.155	367	2.180	462
2.206	380	2.230	463
2.256	395	2.282	462
2.307	413	2.332	461
2.357	434	2.383	462
2.409	454	2.433	461
2.459	475	2.484	461
2.510	494	2.535	461
2.560	511	2.586	461
2.611	523	2.636	461
2.662	533	2.687	462
2.713	537	2.737	463
2.763	538	2.789	463
2.814	535	2.839	463
2.864	528	2.890	463
2.915	516	2.940	464
2.966	501	2.991	463
3.017	484	3.041	463
3.067	466	3.093	464
3.118	445	3.143	464
3.168	424	3.194	463
3.220	406	3.244	464
3.270	388	3.295	463
3.321	374	3.346	462
3.371	365	3.397	463
3.422	360	3.447	462
3.473	358	3.498	462
3.524	362	3.548	462
3.574	369	3.600	461
3.625	380	3.650	461
3.675	394	3.701	462
3.727	411	3.751	461
3.777	432	3.802	462
3.828	451	3.853	462
3.878	471	3.904	461
3.929	488	3.955	461
3.979	505	4.005	462
4.031	518	4.056	462
4.081	527	4.106	462
4.132	533	4.158	463
4.182	535	4.208	463
4.233	530	4.259	464
4.284	525	4.309	464
4.335	514	4.360	464
4.385	500	4.411	465
4.436	484	4.462	464
4.486	467	4.512	464
4.538	447	4.563	465
4.588	428	4.613	463
4.639	409	4.664	464
4.689	393	4.715	463
4.740	380	4.766	462
4.790	371	4.816	462
4.842	366	4.867	461
4.892	365	4.917	461
