#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	465	0.050	464
0.076	465	0.101	465
0.126	465	0.151	464
0.177	465	0.203	465
0.227	466	0.253	465
0.278	465	0.304	464
0.329	465	0.354	465
0.380	465	0.405	465
0.430	465	0.456	464
0.481	465	0.507	465
0.531	465	0.557	464
0.583	465	0.608	465
0.633	465	0.658	465
0.684	465	0.710	464
0.735	465	0.760	465
0.785	464	0.811	464
0.836	464	0.861	464
0.887	464	0.912	464
0.938	465	0.962	464
0.988	465	1.014	464
1.039	464	1.064	464
1.089	465	1.115	465
1.141	464	1.165	464
1.191	465	1.216	464
1.242	465	1.267	465
1.292	464	1.318	465
1.343	465	1.368	464
1.394	465	1.419	464
1.445	465	1.469	464
1.495	465	1.521	464
1.546	465	1.571	464
1.596	465	1.622	465
1.647	465	1.672	465
1.698	465	1.723	464
1.749	465	1.773	464
1.799	464	1.825	464
1.850	465	1.875	464
1.900	465	1.926	464
1.952	465	1.976	464
2.002	464	2.027	464
2.053	465	2.078	464
2.103	464	2.129	465
2.154	465	2.179	464
2.205	465	2.230	464
2.256	464	2.280	464
2.306	465	2.332	464
2.357	465	2.382	465
2.407	465	2.433	464
2.458	465	2.483	464
2.509	464	2.534	464
2.560	465	2.584	464
2.610	465	2.636	465
2.661	465	2.686	464
2.711	465	2.737	465
2.763	465	2.787	465
2.813	465	2.838	464
2.864	465	2.889	465
2.914	465	2.940	464
2.965	465	2.990	464
3.016	465	3.041	464
3.067	465	3.091	464
3.117	465	3.143	465
3.168	465	3.193	464
3.218	464	3.244	465
3.270	465	3.294	464
3.320	465	3.345	464
3.371	465	3.396	464
3.421	465	3.447	464
3.472	465	3.498	464
3.522	465	3.548	464
3.574	465	3.599	464
3.624	464	3.649	465
3.675	465	3.701	465
3.725	465	3.751	464
3.776	465	3.802	465
3.827	465	3.852	465
3.878	466	3.903	465
3.928	465	3.954	464
3.979	465	4.005	465
4.029	465	4.055	465
4.081	465	4.106	464
4.131	465	4.156	464
4.182	465	4.207	464
4.232	465	4.258	464
4.283	465	4.309	464
4.333	465	4.359	465
4.385	465	4.410	464
4.435	465	4.460	464
4.486	465	4.512	464
4.536	465	4.562	464
4.587	464	4.613	464
4.638	465	4.663	464
4.689	465	4.714	464
4.739	464	4.765	464
4.790	465	4.816	464
4.840	465	4.866	464
4.892	465	4.917	465
4.942	465	4.967	465
4.993	465	5.018	465
5.043	465	5.069	465
5.094	465	5.120	464
5.144	464	5.170	465
5.196	465	5.221	465
5.246	465	5.271	465
5.297	465	5.323	465
5.347	465	5.373	465
5.398	465	5.424	465
5.449	465	5.474	464
5.500	465	5.525	464
5.550	465	5.576	465
5.601	465	5.627	464
5.651	465	5.677	464
5.703	465	5.728	464
5.753	465	5.778	464
5.804	465	5.830	465
5.854	465	5.880	464
5.905	465	5.931	464
5.955	465	5.981	464
6.007	465	6.032	464
6.057	464	6.082	464
6.108	465	6.134	465
6.158	465	6.184	465
6.209	466	6.235	465
6.260	465	6.285	465
6.311	465	6.336	464
6.361	465	6.387	465
6.412	465	6.438	465
6.462	465	6.488	465
6.514	465	6.539	464
6.564	465	6.589	464
6.615	465	6.641	464
6.665	465	6.691	464
6.716	465	6.742	464
6.766	464	6.792	464
6.818	465	6.843	464
6.868	465	6.893	464
