#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
28.058	352	28.083	500
28.108	346	28.133	490
28.159	345	28.185	477
28.209	351	28.235	466
28.260	360	28.286	454
28.310	375	28.336	445
28.362	393	28.387	437
28.412	415	28.437	431
28.463	440	28.489	428
28.513	463	28.539	428
28.564	487	28.590	430
28.615	509	28.640	435
28.666	527	28.691	443
28.716	542	28.742	453
28.767	552	28.793	464
28.817	557	28.843	476
28.869	555	28.894	489
28.919	550	28.944	502
28.970	539	28.996	514
29.020	523	29.046	524
29.071	504	29.097	532
29.121	482	29.147	538
29.173	460	29.198	540
29.223	435	29.248	539
29.274	413	29.300	536
29.324	392	29.350	529
29.375	376	29.401	520
29.426	363	29.451	509
29.477	354	29.502	496
29.527	350	29.553	483
29.578	353	29.604	468
29.628	360	29.654	454
29.680	372	29.705	442
29.730	388	29.755	433
29.781	407	29.807	424
29.831	429	29.857	419
29.882	451	29.908	417
29.932	473	29.958	419
29.984	496	30.009	424
30.034	514	30.059	432
30.085	530	30.111	444
30.135	542	30.161	455
30.186	549	30.212	470
30.238	551	30.262	485
30.288	547	30.313	500
30.339	540	30.364	514
30.389	527	30.415	527
30.440	510	30.465	537
30.491	491	30.516	544
30.542	469	30.566	548
30.592	447	30.618	549
30.643	425	30.668	545
30.693	405	30.719	540
30.745	388	30.769	530
30.795	373	30.820	519
30.846	363	30.870	504
30.896	358	30.922	489
30.947	357	30.972	473
30.997	361	31.023	457
31.049	371	31.073	442
31.099	384	31.124	429
31.150	400	31.175	420
31.200	419	31.226	413
31.251	441	31.276	409
31.302	462	31.327	410
31.353	483	31.377	413
31.403	502	31.429	421
31.454	518	31.479	432
31.504	531	31.530	446
31.556	540	31.580	461
31.606	544	31.631	479
31.657	543	31.681	495
31.707	538	31.733	512
31.758	527	31.783	526
31.808	514	31.834	539
31.860	497	31.884	549
31.910	478	31.935	555
31.961	457	31.986	558
32.011	438	32.037	556
32.062	418	32.087	551
32.113	400	32.138	541
32.164	385	32.188	529
32.214	374	32.240	514
32.265	367	32.290	498
32.315	364	32.341	479
32.367	366	32.391	462
32.417	372	32.442	445
32.468	383	32.492	429
32.518	397	32.544	417
32.569	414	32.594	408
32.619	432	32.645	402
32.671	452	32.695	401
32.721	472	32.746	403
32.772	489	32.797	411
32.822	506	32.848	421
32.873	519	32.898	435
32.924	529	32.949	451
32.975	535	32.999	469
33.025	536	33.051	488
33.076	534	33.101	506
33.126	526	33.152	525
33.178	515	33.202	539
33.228	501	33.253	552
33.279	484	33.303	561
33.329	466	33.355	566
33.380	447	33.406	565
33.430	429	33.456	561
33.482	412	33.507	552
33.532	397	33.557	541
33.583	384	33.609	525
33.633	377	33.659	507
33.684	372	33.710	488
33.735	372	33.760	468
33.786	376	33.811	449
33.836	383	33.862	432
33.887	395	33.913	417
33.937	410	33.963	405
33.989	426	34.014	398
34.039	444	34.064	393
34.090	462	34.116	395
34.140	479	34.166	400
34.191	494	34.217	409
34.241	508	34.267	423
34.293	519	34.318	440
34.343	526	34.368	460
34.394	529	34.420	479
34.444	528	34.470	500
34.495	523	34.521	519
34.546	514	34.571	537
34.597	502	34.622	551
34.647	489	34.673	563
34.698	473	34.724	570
34.748	456	34.774	573
34.800	439	34.825	570
34.850	423	34.875	563
34.901	408	34.927	551
34.951	397	34.977	538
35.002	387	35.028	519
35.052	382	35.078	499
35.104	380	35.129	478
35.154	382	35.179	456
35.205	387	35.231	437
35.255	396	35.281	419
35.306	407	35.332	405
35.357	421	35.382	394
35.408	436	35.433	388
35.458	452	35.484	386
35.509	468	35.535	391
35.559	483	35.585	398
35.611	496	35.636	412
35.661	506	35.686	428
35.712	515	35.738	448
35.762	520	35.788	468
35.813	520	35.839	491
35.863	517	35.889	512
35.915	511	35.940	533
35.965	502	35.990	549
36.016	491	36.042	563
36.066	478	36.092	573
36.117	463	36.143	577
36.168	448	36.193	577
36.219	433	36.244	573
36.269	420	36.295	562
36.320	408	36.346	548
36.370	399	36.396	531
36.422	391	36.447	510
36.472	388	36.497	488
36.523	389	36.549	465
36.573	392	36.599	443
36.624	398	36.650	423
36.674	407	36.700	407
36.726	419	36.751	393
36.776	432	36.801	385
36.827	445	36.853	381
36.877	460	36.903	383
36.928	473	36.954	390
36.979	485	37.004	401
37.030	496	37.055	417
37.081	504	37.106	436
37.131	509	37.157	458
37.182	512	37.207	480
37.233	511	37.258	504
37.284	506	37.308	525
37.334	500	37.360	545
37.385	491	37.410	561
37.435	479	37.461	574
37.487	467	37.511	581
37.537	454	37.562	583
37.588	441	37.612	580
37.638	429	37.664	572
37.689	418	37.714	558
37.739	409	37.765	542
37.791	402	37.815	522
37.841	398	37.866	499
37.892	397	37.917	476
37.942	399	37.968	453
37.993	403	38.018	431
38.044	410	38.069	411
38.095	419	38.119	396
38.145	430	38.171	384
38.196	441	38.221	378
38.246	453	38.272	377
38.298	465	38.322	382
38.348	476	38.373	391
38.399	485	38.423	406
38.449	494	38.475	424
38.500	498	38.525	446
38.550	501	38.576	469
38.602	502	38.626	493
38.652	499	38.677	516
38.703	495	38.728	538
38.753	488	38.779	557
38.804	479	38.829	571
38.855	470	38.880	582
38.906	459	38.930	586
38.956	448	38.982	585
39.007	437	39.032	580
39.057	428	39.083	569
39.109	419	39.133	554
39.159	413	39.184	534
39.210	408	39.234	511
39.260	406	39.286	488
39.311	406	39.336	463
39.361	409	39.387	439
39.413	414	39.437	418
39.463	421	39.488	400
39.514	429	39.539	387
39.564	438	39.590	377
39.615	448	39.640	374
39.666	458	39.691	375
39.717	468	39.741	383
39.767	476	39.793	396
39.818	483	39.843	413
39.868	488	39.894	434
39.920	492	39.944	457
39.970	494	39.995	482
40.021	492	40.045	506
40.071	489	40.097	530
40.122	484	40.148	550
40.172	477	40.198	568
40.224	469	40.249	579
40.274	461	40.299	587
40.325	452	40.351	590
40.375	443	40.401	586
40.426	435	40.452	577
40.477	428	40.502	563
40.528	422	40.553	546
40.578	418	40.604	524
40.629	415	40.655	500
40.679	415	40.705	475
40.731	417	40.756	450
40.781	419	40.806	427
40.832	424	40.858	407
40.882	431	40.908	390
40.933	438	40.959	379
40.983	446	41.009	372
41.035	453	41.060	371
41.085	461	41.110	377
41.136	468	41.162	387
41.186	474	41.212	403
41.237	479	41.263	423
41.288	482	41.313	445
41.339	483	41.364	469
41.389	483	41.415	495
41.440	481	41.466	519
41.490	478	41.516	541
41.542	473	41.567	561
41.592	467	41.617	576
41.643	461	41.669	586
41.693	454	41.719	591
41.744	447	41.770	590
41.794	441	41.820	584
41.846	435	41.871	571
41.896	431	41.921	555
41.947	427	41.973	535
41.997	425	42.023	512
42.048	424	42.074	486
42.099	425	42.124	462
42.150	427	42.175	438
42.200	430	42.226	415
42.251	435	42.277	397
42.301	439	42.327	382
42.353	445	42.378	373
42.403	450	42.428	370
42.454	456	42.480	372
42.504	461	42.530	379
42.555	466	42.581	394
42.605	469	42.631	412
42.657	472	42.682	433
42.707	473	42.732	457
42.758	474	42.784	482
42.808	472	42.834	508
42.859	470	42.885	531
42.910	467	42.935	553
42.961	464	42.986	570
43.011	459	43.037	583
43.062	455	43.088	590
43.112	450	43.138	592
43.164	446	43.189	588
43.214	441	43.239	579
43.265	438	43.291	564
43.315	436	43.341	546
43.366	434	43.392	523
43.417	433	43.442	499
43.468	434	43.493	473
43.518	435	43.543	449
43.569	437	43.595	425
43.619	440	43.645	405
43.670	443	43.696	389
43.721	447	43.746	377
43.772	450	43.797	371
43.822	454	43.848	370
43.873	457	43.899	376
43.923	460	43.949	387
43.975	462	44.000	403
44.025	464	44.050	422
44.076	464	44.102	445
44.126	464	44.152	470
44.177	463	44.203	495
44.228	462	44.253	519
44.279	460	44.304	543
44.329	457	44.354	561
44.380	455	44.406	577
44.430	452	44.456	587
44.481	449	44.507	592
44.532	447	44.557	590
44.583	445	44.608	583
44.634	443	44.659	572
44.684	442	44.710	554
44.735	442	44.760	534
44.786	442	44.811	511
44.837	442	44.861	487
44.887	443	44.913	461
44.938	444	44.963	437
44.988	447	45.014	415
45.040	448	45.064	397
45.090	450	45.115	383
45.141	452	45.165	374
45.191	453	45.217	370
45.242	455	45.267	373
45.292	455	45.318	381
45.344	455	45.368	395
45.394	455	45.419	412
45.445	455	45.470	434
45.495	454	45.521	458
45.546	454	45.571	483
45.597	452	45.622	508
45.648	452	45.672	531
45.698	450	45.724	552
45.749	450	45.774	569
45.799	449	45.825	581
45.851	448	45.875	588
45.901	448	45.926	589
45.952	447	45.977	586
46.002	448	46.028	577
46.053	448	46.078	563
46.103	448	46.129	544
46.155	450	46.179	522
46.205	450	46.230	498
46.256	451	46.281	473
46.306	452	46.332	448
46.357	453	46.382	427
46.408	454	46.433	406
46.459	454	46.483	390
46.509	453	46.535	379
46.560	453	46.585	373
46.610	453	46.636	372
46.662	452	46.686	378
46.712	451	46.737	389
46.763	450	46.788	405
46.813	449	46.839	425
46.864	447	46.889	447
46.914	446	46.940	471
46.966	445	46.990	496
47.016	444	47.041	519
47.067	443	47.092	541
47.117	444	47.143	560
47.168	444	47.193	574
47.219	444	47.244	584
47.270	446	47.294	588
47.320	447	47.346	586
47.371	450	47.396	580
47.421	451	47.447	568
47.473	454	47.497	552
47.523	456	47.548	532
47.574	457	47.599	509
47.624	459	47.650	485
47.675	460	47.701	461
47.725	460	47.751	438
47.777	460	47.802	417
47.827	459	47.852	400
47.878	458	47.904	387
47.928	456	47.954	378
47.979	453	48.005	375
48.030	450	48.055	378
48.081	448	48.106	386
48.131	445	48.157	400
48.182	443	48.208	417
48.232	440	48.258	437
48.284	438	48.309	460
48.334	437	48.359	483
48.385	436	48.411	508
48.435	436	48.461	530
48.486	437	48.512	549
48.537	438	48.562	565
48.588	440	48.613	577
48.638	443	48.663	584
48.689	446	48.715	584
48.739	450	48.765	581
48.790	453	48.816	571
48.841	457	48.866	557
48.892	461	48.917	541
48.942	463	48.968	519
48.993	464	49.019	497
49.043	467	49.069	473
49.095	467	49.120	450
49.145	467	49.170	429
49.196	464	49.222	410
49.246	463	49.272	395
49.297	460	49.323	386
49.348	456	49.373	379
49.399	452	49.424	379
49.449	448	49.474	385
49.500	443	49.526	396
49.550	439	49.576	410
49.601	435	49.627	429
49.652	432	49.677	449
49.703	430	49.728	472
49.753	429	49.779	495
49.804	428	49.830	518
49.854	430	49.880	538
49.906	432	49.931	555
49.956	435	49.981	568
50.007	439	50.033	577
50.057	444	50.083	581
50.108	449	50.134	580
50.159	454	50.184	572
50.210	459	50.235	562
50.260	464	50.285	546
50.311	467	50.337	528
50.361	471	50.387	507
50.412	472	50.438	484
50.463	474	50.488	462
50.514	473	50.539	441
50.564	472	50.590	422
50.615	469	50.641	405
50.665	465	50.691	393
50.717	460	50.742	386
50.767	455	50.792	383
50.818	449	50.844	386
50.868	442	50.894	393
50.919	437	50.945	406
50.970	432	50.995	422
51.021	427	51.046	441
51.071	424	51.097	462
51.122	422	51.148	484
51.172	422	51.198	506
51.223	422	51.249	526
51.274	425	51.299	544
51.325	429	51.350	558
51.376	433	51.401	569
51.426	439	51.452	575
51.477	445	51.502	577
