#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
3.017	532	3.041	462
3.067	543	3.092	462
3.118	551	3.143	463
3.168	552	3.194	463
3.219	548	3.244	463
3.270	540	3.295	464
3.321	528	3.346	464
3.371	511	3.396	463
3.422	493	3.448	464
3.472	471	3.498	464
3.523	449	3.549	463
3.574	427	3.599	463
3.625	406	3.650	464
3.675	388	3.701	464
3.726	373	3.752	463
3.776	362	3.802	463
3.828	356	3.853	463
3.878	356	3.903	463
3.929	358	3.955	463
3.979	367	4.005	462
4.030	381	4.056	463
4.081	396	4.106	462
4.132	415	4.157	462
4.182	436	4.208	462
4.233	458	4.259	462
4.283	480	4.309	462
4.334	500	4.360	462
4.385	517	4.410	462
4.436	533	4.461	463
4.486	543	4.512	463
4.537	549	4.563	463
4.587	550	4.613	463
4.639	547	4.664	463
4.689	538	4.714	465
4.740	525	4.766	463
4.790	509	4.816	464
4.841	490	4.867	464
4.892	469	4.917	465
4.943	447	4.968	465
4.993	426	5.019	464
5.044	406	5.070	465
5.094	388	5.120	463
5.145	374	5.171	464
5.196	364	5.221	463
5.247	358	5.272	463
5.297	357	5.323	461
5.348	361	5.374	462
5.398	369	5.424	462
5.450	382	5.475	462
5.500	398	5.525	461
5.551	418	5.577	462
5.601	438	5.627	461
5.652	460	5.678	462
5.703	482	5.728	462
5.754	502	5.779	462
5.804	519	5.830	462
5.855	532	5.881	463
5.905	542	5.931	463
5.956	549	5.982	463
6.007	549	6.032	464
6.058	545	6.083	464
6.108	536	6.134	464
6.159	523	6.185	464
6.209	506	6.235	465
6.261	487	6.286	464
6.311	467	6.336	464
6.362	445	6.388	464
6.412	424	6.438	464
6.463	405	6.489	463
6.514	387	6.539	463
6.565	374	6.590	463
6.615	365	6.641	462
6.666	359	6.692	462
6.716	359	6.742	462
6.768	363	6.793	461
6.818	373	6.843	461
6.869	385	6.894	461
6.919	402	6.945	461
6.970	421	6.996	461
7.020	442	7.046	462
7.072	463	7.097	462
7.122	484	7.147	462
7.173	503	7.199	463
7.223	519	7.249	463
7.274	533	7.300	464
7.325	542	7.350	464
7.376	547	7.401	464
7.426	546	7.452	465
7.477	542	7.503	464
7.527	533	7.553	464
7.579	520	7.604	464
7.629	504	7.654	464
7.680	484	7.705	463
7.730	465	7.756	464
7.781	444	7.807	464
7.831	423	7.857	463
7.883	404	7.908	463
7.933	388	7.958	463
7.984	375	8.010	462
8.034	366	8.060	461
8.085	362	8.111	462
8.136	362	8.161	462
8.187	367	8.212	461
8.237	376	8.263	461
8.288	389	8.314	462
8.338	405	8.364	462
8.390	424	8.415	462
8.440	444	8.465	462
8.491	465	8.516	463
8.541	486	8.567	463
8.592	504	8.618	463
8.642	520	8.668	464
8.694	533	8.719	464
8.744	542	8.769	464
8.795	546	8.821	464
8.845	546	8.871	464
8.896	541	8.922	464
8.947	532	8.972	464
8.998	518	9.023	464
9.048	502	9.074	464
9.099	483	9.125	463
9.149	463	9.175	463
9.201	442	9.226	463
9.251	422	9.276	462
9.302	403	9.328	462
9.352	388	9.378	463
9.403	375	9.429	462
9.453	367	9.479	461
9.505	362	9.530	461
9.555	363	9.580	462
9.606	369	9.632	461
9.656	378	9.682	462
9.707	391	9.733	462
9.758	409	9.783	462
9.809	426	9.834	463
9.859	447	9.885	462
9.910	468	9.936	463
9.960	487	9.986	464
10.012	506	10.037	464
10.062	521	10.087	464
10.113	533	10.139	464
10.163	541	10.189	465
10.214	545	10.240	464
10.264	544	10.290	465
10.316	539	10.341	464
10.366	529	10.391	464
10.417	516	10.443	463
10.467	499	10.493	464
10.518	481	10.544	463
10.569	461	10.594	463
10.620	441	10.645	462
10.670	420	10.696	462
10.721	403	10.747	462
10.771	388	10.797	462
10.823	376	10.848	462
10.873	368	10.898	461
10.924	365	10.950	462
10.974	366	11.000	462
11.025	371	11.051	462
11.075	381	11.101	463
11.127	394	11.152	462
11.177	411	11.202	463
11.228	430	11.254	463
11.278	449	11.304	464
11.329	469	11.355	463
11.381	489	11.405	464
11.431	507	11.456	464
11.482	521	11.507	465
11.532	533	11.558	464
11.583	541	11.608	464
11.634	544	11.659	464
11.685	543	11.709	465
11.735	537	11.761	464
11.786	527	11.811	464
11.836	513	11.862	463
11.888	497	11.912	463
11.938	479	11.963	463
11.989	459	12.013	462
12.039	439	12.065	462
12.090	420	12.115	462
12.140	402	12.166	462
12.192	388	12.216	462
12.242	377	12.267	461
12.293	369	12.318	462
12.343	366	12.369	462
12.394	368	12.419	462
12.445	373	12.470	462
12.496	384	12.520	462
12.546	397	12.572	463
12.597	413	12.622	463
12.647	432	12.673	464
12.699	452	12.723	463
12.749	471	12.774	464
12.800	491	12.824	464
12.850	508	12.876	464
12.901	522	12.926	464
12.951	533	12.977	464
13.003	540	13.027	464
13.053	543	13.078	464
13.104	542	13.129	463
13.154	535	13.180	463
13.205	525	13.230	463
13.256	511	13.281	462
13.307	495	13.331	463
13.357	476	13.383	462
13.408	457	13.433	462
13.458	437	13.484	462
13.510	419	13.534	462
13.560	401	13.585	462
13.611	387	13.635	462
13.661	377	13.687	461
13.712	370	13.737	462
13.762	368	13.788	462
13.814	370	13.838	463
13.864	376	13.889	463
13.915	386	13.940	463
13.965	400	13.991	463
14.016	416	14.041	464
14.067	435	14.092	464
14.118	455	14.142	464
14.168	474	14.194	464
14.219	492	14.244	463
14.269	509	14.295	464
14.321	522	14.345	464
14.371	533	14.396	464
14.422	539	14.446	464
14.472	542	14.498	463
14.523	539	14.549	463
14.573	533	14.599	463
14.625	523	14.650	463
14.675	509	14.700	463
14.726	493	14.752	463
14.776	474	14.802	462
14.827	455	14.853	463
14.878	435	14.903	462
14.929	417	14.954	462
14.979	401	15.005	462
