#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
2.002	388	2.028	494
2.054	423	2.078	450
2.104	458	2.129	406
2.155	492	2.180	365
2.205	521	2.231	330
2.256	546	2.281	303
2.307	563	2.332	286
2.358	572	2.382	281
2.408	575	2.434	284
2.459	568	2.484	297
2.509	554	2.535	321
2.560	532	2.585	353
2.611	506	2.636	392
2.662	475	2.686	434
2.712	440	2.738	479
2.763	405	2.788	523
2.813	371	2.839	565
2.865	340	2.889	602
2.915	313	2.940	633
2.966	292	2.991	654
3.016	280	3.042	666
3.067	273	3.092	667
3.118	275	3.143	660
3.169	285	3.193	642
3.219	301	3.245	617
3.270	326	3.295	585
3.320	355	3.346	544
3.371	387	3.396	501
3.422	421	3.447	456
3.473	455	3.497	413
3.523	489	3.549	372
3.574	518	3.599	337
3.624	542	3.650	310
3.676	560	3.700	291
3.726	570	3.751	284
3.777	572	3.802	286
3.827	567	3.853	297
3.878	553	3.903	320
3.929	532	3.954	351
3.980	506	4.004	388
4.030	475	4.056	429
4.081	442	4.106	473
4.131	408	4.157	517
4.183	373	4.207	557
4.233	342	4.258	594
4.284	315	4.308	625
4.334	295	4.360	648
4.385	281	4.410	661
4.435	276	4.461	664
4.487	276	4.512	657
4.537	285	4.562	642
4.588	301	4.614	618
4.638	325	4.664	586
4.689	353	4.715	549
4.740	385	4.765	506
4.791	418	4.816	464
4.841	453	4.867	420
4.892	486	4.918	380
4.942	515	4.968	345
4.994	540	5.019	318
5.044	558	5.069	298
5.095	568	5.120	289
5.145	571	5.171	290
5.196	566	5.222	299
5.246	553	5.272	319
5.298	533	5.323	349
5.348	507	5.373	383
5.399	477	5.425	423
5.449	444	5.475	465
5.500	410	5.526	508
5.551	376	5.576	549
5.602	345	5.627	586
5.652	317	5.678	617
5.703	296	5.729	641
5.753	283	5.779	656
5.805	276	5.830	660
5.855	276	5.880	656
5.906	286	5.931	642
5.956	301	5.982	620
6.007	324	6.033	591
6.057	351	6.083	554
6.109	383	6.134	515
6.159	417	6.184	472
6.210	451	6.236	430
6.260	484	6.286	390
6.311	513	6.337	354
6.362	538	6.387	325
6.413	556	6.438	305
6.463	566	6.489	294
6.514	570	6.540	293
6.564	565	6.590	300
6.616	553	6.641	318
6.666	534	6.691	345
6.717	508	6.743	378
6.767	478	6.793	416
6.818	446	6.844	457
6.868	411	6.894	500
6.920	378	6.945	539
6.970	347	6.995	577
7.021	320	7.047	609
7.071	298	7.097	633
7.122	284	7.148	650
7.173	277	7.198	656
7.224	277	7.249	653
7.274	285	7.300	642
7.325	301	7.351	621
7.375	323	7.401	593
7.427	350	7.452	560
7.477	381	7.502	521
7.528	415	7.554	480
7.578	449	7.604	438
7.629	482	7.655	399
7.679	511	7.705	363
7.731	535	7.756	334
7.781	554	7.806	311
7.832	565	7.858	299
7.882	570	7.908	297
7.933	566	7.959	303
7.984	554	8.009	318
8.035	535	8.060	343
8.085	510	8.111	374
8.136	480	8.162	411
8.186	448	8.212	451
8.238	414	8.263	491
8.288	380	8.313	531
8.339	349	8.365	568
8.389	321	8.415	601
8.440	300	8.466	627
8.490	285	8.516	644
8.542	278	8.567	651
8.592	276	8.617	650
8.643	285	8.669	641
8.693	300	8.719	622
8.744	321	8.770	596
8.795	348	8.820	564
8.846	379	8.871	526
8.896	412	8.922	486
8.947	446	8.973	447
8.997	479	9.023	407
9.049	509	9.074	372
9.099	534	9.124	342
9.150	553	9.176	319
9.200	565	9.226	305
9.251	569	9.277	301
9.301	567	9.327	304
9.353	555	9.378	319
9.403	537	9.428	342
9.454	513	9.480	371
9.504	483	9.530	406
9.555	450	9.581	444
9.606	417	9.631	484
9.657	383	9.682	524
9.707	352	9.733	561
9.758	324	9.784	594
9.808	302	9.834	620
9.860	286	9.885	638
9.910	279	9.935	647
9.961	277	9.987	647
10.011	284	10.037	639
10.062	298	10.088	622
10.112	319	10.138	598
10.164	346	10.189	567
10.214	377	10.239	531
10.265	410	10.291	492
10.315	443	10.341	452
10.366	476	10.392	414
10.418	507	10.442	379
10.468	532	10.493	349
10.519	552	10.544	325
10.569	565	10.595	312
10.620	570	10.645	306
10.671	567	10.696	309
10.722	556	10.746	321
10.772	539	10.798	342
10.823	515	10.848	369
10.873	486	10.899	404
10.925	453	10.949	440
10.975	420	11.000	479
11.026	386	11.050	517
11.076	355	11.102	554
11.127	326	11.152	586
11.177	303	11.203	613
11.229	287	11.253	632
11.279	278	11.304	642
11.330	277	11.355	643
11.380	283	11.406	636
11.431	296	11.456	621
11.482	316	11.507	598
11.533	343	11.557	569
11.583	373	11.609	535
11.634	406	11.659	498
11.684	440	11.710	459
11.736	473	11.760	422
11.786	504	11.811	387
11.837	530	11.861	356
11.887	551	11.913	332
11.938	564	11.963	317
11.988	570	12.014	311
12.040	568	12.064	312
12.090	558	12.115	323
12.141	541	12.166	342
12.191	518	12.217	368
12.242	489	12.267	400
12.293	457	12.318	436
12.344	424	12.368	473
12.394	390	12.420	511
12.445	357	12.470	547
12.495	329	12.521	578
12.547	304	12.571	605
12.597	287	12.622	625
12.648	278	12.672	636
12.698	276	12.724	639
12.749	281	12.774	634
12.799	294	12.825	620
12.851	313	12.875	599
12.901	339	12.926	571
12.952	369	12.977	539
13.002	402	13.028	502
13.053	437	13.078	465
13.104	470	13.129	428
13.155	501	13.179	394
13.205	528	13.231	364
13.256	550	13.281	339
13.306	563	13.332	324
13.358	570	13.382	316
13.408	570	13.433	316
13.459	560	13.483	325
13.509	544	13.535	342
13.560	521	13.586	368
13.610	493	13.636	398
13.662	461	13.687	432
13.712	427	13.737	469
13.763	393	13.789	505
13.813	361	13.839	541
13.864	331	13.890	573
13.915	307	13.940	599
13.966	289	13.991	619
14.016	279	14.042	631
14.067	275	14.093	634
14.117	280	14.143	629
14.169	291	14.194	618
14.219	310	14.244	598
14.270	335	14.296	572
14.320	365	14.346	541
