#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
4.029	559	4.055	462
4.079	565	4.105	462
4.131	565	4.156	461
4.181	561	4.206	462
4.232	552	4.258	462
4.282	538	4.308	462
4.333	520	4.359	462
4.383	499	4.409	461
4.435	476	4.460	462
4.485	453	4.510	463
4.536	431	4.562	462
4.586	410	4.612	462
4.637	392	4.663	461
4.688	379	4.713	462
4.739	370	4.764	462
4.789	367	4.815	462
4.840	367	4.866	462
4.890	372	4.916	461
4.942	381	4.967	461
4.992	394	5.017	461
5.043	411	5.069	461
5.093	431	5.119	461
5.144	452	5.170	460
5.194	472	5.220	461
5.246	492	5.271	461
5.296	512	5.321	461
5.347	531	5.373	461
5.397	545	5.423	461
5.448	556	5.474	462
5.499	562	5.524	462
5.550	562	5.575	462
5.600	557	5.626	462
5.651	547	5.677	462
5.701	534	5.727	462
5.753	516	5.778	462
5.803	497	5.828	462
5.854	476	5.880	463
5.904	454	5.930	463
5.955	434	5.981	462
6.005	415	6.031	462
6.057	398	6.082	462
6.107	383	6.132	462
6.158	374	6.184	461
6.208	370	6.234	462
6.259	372	6.285	461
6.310	377	6.335	461
6.361	387	6.386	460
6.411	400	6.437	461
6.462	415	6.488	461
6.512	433	6.538	461
6.564	451	6.589	460
6.614	470	6.639	461
6.665	489	6.691	461
6.715	508	6.741	462
6.766	524	6.792	462
6.816	537	6.842	462
6.868	546	6.893	462
6.918	552	6.943	462
6.969	553	6.995	462
7.019	549	7.045	462
7.070	541	7.096	463
7.122	529	7.146	462
7.172	514	7.197	462
7.223	497	7.248	462
7.273	477	7.299	462
7.324	457	7.349	462
7.375	438	7.400	462
7.426	419	7.450	462
7.476	403	7.502	461
7.527	391	7.552	461
7.577	381	7.603	461
7.629	377	7.653	461
7.679	376	7.704	460
7.730	380	7.754	461
7.780	388	7.806	461
7.831	399	7.856	460
7.881	414	7.907	461
7.933	430	7.957	461
7.983	448	8.008	461
8.034	467	8.059	461
8.084	486	8.110	461
8.135	503	8.160	462
8.186	519	8.211	462
8.237	533	8.261	462
8.287	542	8.313	463
8.338	549	8.363	463
8.388	550	8.414	463
8.440	546	8.464	463
8.490	539	8.515	463
8.541	528	8.565	463
8.591	514	8.617	463
8.642	497	8.667	463
8.692	478	8.718	463
8.744	459	8.768	462
8.794	440	8.819	462
8.845	422	8.870	461
8.895	406	8.921	461
8.946	394	8.971	461
8.997	385	9.022	461
9.048	381	9.072	460
9.098	382	9.124	460
9.149	385	9.174	461
