#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
5.045	560	5.070	551
5.095	542	5.120	534
5.146	521	5.172	514
5.196	495	5.222	494
5.247	466	5.273	473
5.298	438	5.323	452
5.349	410	5.374	433
5.399	384	5.425	418
5.450	360	5.476	405
5.500	343	5.526	397
5.552	331	5.577	393
5.602	324	5.627	394
5.653	324	5.679	400
5.703	330	5.729	410
5.754	342	5.780	424
5.804	360	5.830	440
5.856	382	5.881	460
5.906	408	5.931	480
5.957	435	5.983	501
6.007	464	6.033	520
6.058	492	6.084	538
6.109	518	6.134	553
6.160	540	6.185	566
6.210	557	6.236	574
6.261	569	6.287	578
6.311	576	6.337	577
6.363	575	6.388	572
6.413	568	6.438	563
6.464	556	6.490	550
6.514	536	6.540	535
6.565	514	6.591	515
6.615	488	6.641	496
6.667	459	6.692	476
6.717	431	6.742	456
6.768	404	6.794	438
6.818	378	6.844	423
6.869	357	6.895	410
6.920	341	6.945	402
6.971	330	6.996	397
7.021	325	7.047	398
7.072	326	7.098	402
7.122	334	7.148	411
7.174	347	7.199	425
7.224	365	7.249	439
7.275	388	7.301	458
7.325	415	7.351	477
7.376	442	7.402	497
7.426	470	7.452	515
7.478	498	7.503	534
7.528	523	7.553	548
7.579	543	7.605	561
7.629	559	7.655	569
7.680	570	7.706	574
7.731	575	7.756	574
7.782	573	7.807	570
7.832	564	7.858	562
7.883	550	7.909	550
7.933	531	7.959	535
7.985	507	8.010	518
8.035	482	8.060	499
8.086	452	8.112	479
8.136	425	8.162	460
8.187	398	8.213	442
8.237	374	8.263	427
8.289	354	8.314	414
8.339	339	8.364	405
8.390	330	8.416	400
8.440	325	8.466	400
8.491	329	8.517	404
8.543	338	8.567	411
8.593	353	8.618	423
8.644	372	8.669	438
8.694	396	8.720	455
8.745	422	8.770	474
8.796	450	8.821	493
8.847	478	8.871	512
8.897	504	8.923	530
8.948	528	8.973	545
8.998	547	9.024	558
9.050	562	9.074	567
9.100	570	9.125	573
9.151	573	9.175	573
9.201	569	9.227	570
9.252	559	9.277	563
9.302	544	9.328	551
9.354	524	9.378	537
9.404	499	9.429	520
9.455	473	9.480	502
9.505	446	9.531	482
9.556	418	9.581	464
9.607	393	9.632	446
9.658	370	9.682	430
9.708	351	9.734	417
9.759	339	9.784	408
9.809	330	9.835	402
9.861	328	9.885	401
9.911	333	9.936	403
9.962	343	9.986	411
10.012	359	10.038	421
10.063	379	10.088	435
10.113	404	10.139	452
10.165	429	10.189	470
10.215	457	10.240	490
10.266	483	10.291	508
10.316	509	10.342	527
10.367	531	10.392	543
10.418	549	10.443	556
10.469	561	10.493	565
10.519	569	10.545	572
10.570	570	10.595	573
10.620	564	10.646	571
10.672	554	10.696	564
10.722	538	10.747	554
10.773	517	10.797	540
10.823	493	10.849	524
10.874	466	10.899	505
10.924	439	10.950	487
10.976	413	11.000	468
11.026	388	11.051	448
11.077	367	11.102	433
11.127	350	11.153	419
11.178	339	11.203	409
11.229	332	11.254	402
11.280	332	11.304	400
11.330	338	11.356	402
11.381	349	11.406	408
11.431	365	11.457	419
11.483	386	11.507	432
11.533	410	11.558	449
11.584	437	11.608	467
11.634	463	11.660	487
11.685	489	11.711	505
11.735	513	11.761	525
11.787	534	11.812	541
11.837	550	11.862	555
11.888	560	11.914	566
11.938	567	11.964	573
11.989	566	12.015	575
12.040	560	12.065	573
12.091	548	12.116	567
